问题,回答,所属分类
阿里巴巴C++岗开发面经汇总,"本系列将提供阿里巴巴C++岗位历年面经，所有面经都有候选人面试之后根据回忆整理而出，大家可以通过面经来复习以及看看阿里巴巴面试难度。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。 由
于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈.
相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 【阿里巴巴】C++岗-春招上岸附上面经
1. 【阿里巴巴】C++岗-春招上岸附上面经
2. 【阿里巴巴】C++岗-阿里云三轮面
2. 【阿里巴巴】C++岗-阿里云三轮面
3. 【阿里巴巴】C++岗-阿里云偏底层研发
3. 【阿里巴巴】C++岗-阿里云偏底层研发
4. 【阿里巴巴】C++岗-大三学生的实习面经整理
4. 【阿里巴巴】C++岗-大三学生的实习面经整理
5. 【阿里巴巴】C++岗-阿里云1,2,3,4面+hr面(已OC)
5. 【阿里巴巴】C++岗-阿里云1,2,3,4面+hr面(已OC)
6. 【阿里巴巴】C++岗-阿里云暑期实习
6. 【阿里巴巴】C++岗-阿里云暑期实习
7. 【阿里巴巴】C++岗-淘宝技术部面筋~(已拿offer)
7. 【阿里巴巴】C++岗-淘宝技术部面筋~(已拿offer)
8. 【阿里巴巴】C++岗-杭州站 c++研发面试小记
8. 【阿里巴巴】C++岗-杭州站 c++研发面试小记
9. 【阿里巴巴】C++岗-阿里云基础平台部门面经
9. 【阿里巴巴】C++岗-阿里云基础平台部门面经
10. 【阿里巴巴】C++岗-春招五轮拿offer
10. 【阿里巴巴】C++岗-春招五轮拿offer
C++开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】C++岗-春招上岸附上面经,"春招准备
由于春招准备的比较晚，错过了鹅厂提前批的大浪，在提前批尾巴投了简历刚被捞起来就被放弃面试(也许简历太菜了)，然后就开始准备正式批了。
实习投了阿里(不知部门)和腾讯(TEG)，阿里卒于四面，不知是什么面，腾讯今天上岸，也有运气参半吧，感谢牛客的小伙伴们的面筋，其实对比后发现自己的面筋有点low，等oc的小群里实在让人感动，所以还是分享一下吧，万一有一点点用那也满满足啦。阿里由于时间太久而且没做记录，这里就不贴了，下面是战线比较长的鹅厂面筋了，大佬们莫笑哈。
因为笔试很久之后没动静，突然被call，很紧张，下面是提问：
说说你的项目(是的，没有自我介绍)
项目里的线程池怎么设计的？
谈一谈你说的异步流
项目里你遇到的技术难点，怎么解决？
纯虚函数了解吗？说一下
协程了解吗，为什么有了线程还要协程？
说一说线程同步
你对c++11的了解，新特性？
说一下STL的空间配置器(两级分配)
用过redis吗？说说你的理解
数据库的三范式？
malloc了解吗，说一说
说说auto_ptr和shared_ptr区别？
堆排序怎么维护堆，时间复杂度多少？
说说其他排序算法的时间复杂度，多路归并？
有什么要问的吗？
这里我感觉我回答得应该一般，面试官也给了很多提示，很感谢，接下来就是十多天的等待。。。
算法题：大数阶乘,参考以前刷题的思路写
“`C++
#include <iostream>
#include <string>
#include <vector>
using namespace std;
int main(){
  int n;
  string ans;
  vector<int> tmp(10000,0);
  tmp[0] = 1;
  while(cin>>n){
      if(n == 0 || n == 1)
          cout<<1<<endl;
      int sum = 0;
      int digit = 1;
      for(int i=2; i<=n; i++){
          sum = 0;
          for(int j=0; j<digit; j++){
              int temp = tmp[j] * i + sum;
              tmp[j] = temp %10;
              sum = temp/10;
          }
          while(sum){//sum不为0表示有进位
              tmp[digit] = sum%10;
              sum/=10;
              digit++;
          }
      }
      for(int i=digit-1 ; i>=0 ; i–)
          ans.append(to_string(tmp[i]));
      cout<<ans<<endl;
      ans.clear();
  }
}
“`
思考题：大致是倒水那种变体题目，具体我记不太起来了，反正捣鼓了半天面试官笑了，我也笑了23333
说说epoll的数据结构，大致是双链表和RB-Tree
说说你看过的网络库
LT/ET模式的区别，如何选取
STL熟悉吗，经常用哪些，结果我说了vector和map
上面两个常用哪个，我说了vector，然后被问了map
了解编译优化吗，说说看
说说你的项目
然后是一堆项目的细节
了解分布式吗，我说的不了解(逃)
linux熟悉吗，shell脚本写过吗，awk用过吗？
有什么想问的吗？
二面因为算法花了一些时间，然后项目也深挖了一下，时间就稍微比较久一点，之后过了五一变成了hr面试
HR面试比较常规，不具有参考意义就不罗列了，小姐姐人很好，隔了一天变成已完成。
总结
其实我感觉我的问题属于牛客上我见过的面筋里面很常规的了，但是自己感觉答得仍然很一般，所以我说运气参半吧，感觉很重视基础，面试官也会给予适当提示，很有耐心，体验很好，当然面筋只是参考，每个人情况不一样哈，春招的尾巴被抓住了还是很开心的，所以大家准备好了一定要早点投简历，那样机会会多一些吧，个人拙见，最后祝大家都能拿到心仪的offer！
最后特别鸣谢 在线做法oc群，群主是面hr岗的小姐姐，里面都是神仙，全是超越姐姐，在里面度过了煎熬的等待，群满了就不放二维码了，祝大家都接到oc。
以上。
C++开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】C++岗-阿里云三轮面,"这几天被老板支配到自闭（一个辛苦的搬砖工），所以没能及时总结面筋，请牛友们原谅。
菜鸡表示笔试没过，4月24号才内推阿里，5月6日面完hr，5月11号收到阿里云意向书，如下是尽力想起来的面筋，还愿牛客：
撕代码，反转链表
设计支持很多数据库的同步备份系统（开放性问题，阅读源码、学习别人的设计思路很重要）
muduo网络库
自己的项目介绍
slect、epoll区别
网络编程流程
https和连接建立过程
B+树
TOPk的问题
hash冲突解决
虚函数定义
实验室的项目（问了好久，大约20多分钟）
实验室的项目
自己的项目介绍
看过那些源码
原子行操作
底层实现
高并发访问网站设计
大量已排序数据进行合并说明优化思路
set和map底层数据结构实现，为啥用红黑树
谈人生谈理想
总结：像阿里这样的大公司，会问比较多的开放性的问题，基础知识 反而 问的比较少，多阅读源码会是一个很大的加分项！
C++开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】C++岗-阿里云偏底层研发,"项目
编程：反转单向链表
malloc和new的区别，free和delete。new一定会用到malloc吗？重载operator new
内存泄漏，最后会怎么样？会对其他程序造成什么影响
水平触发和边缘触发，边缘触发怎么写
野指针的产生，危害，段错误怎么发生的？使用悬空指针一定会段错误吗？什么时候会，什么时候不会
多线程单线程区别，多线程一定比单线程快吗？
学过汇编吗？
编译和链接了解吗？
服务器程序阻塞IO怎么设计？知道早期Apache怎么做的吗？
TCP UDP区别，介绍一下拥塞控制，丢包时为什么阈值会减半
二面全程针对项目问了一通，连接分发还有其他的方式吗？
使用互斥锁和读写mysql会造成上下文切换吗？
为什么不用无锁设计？
建立连接还有其他的方式吗？
了解nginx和apache的实现吗？
（这个一面问了，可是后面还是没看，结果还是没答上来）读过什么开源的代码吗？感觉面试官没有找到技术的共同话题，然后就结束了。
介绍科研经历
介绍项目，一个一个的说
多线程程序内存布局
线程栈的大小，能调整吗？代码中怎么调整？
花生壳内网穿透原理
ARP协议介绍，ARP表建立的过程
TCP已经有了保活为什么还要有心跳包
纳格算法
虚拟化了解吗
汇编了解吗
未来的职业规划
感受
从问的问题来看，感觉是个偏底层的岗位，问了几次会汇编和虚拟化吗？因为不会所以感觉可能技术栈不太符合，最后也是被回绝了。
C++开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】C++岗-大三学生的实习面经整理,"阿里这次招聘比较风风火火的样子啊…12号官方通道一开，牛客就遭到了各种内推的轰炸，然后一大波牛友被收割去了菜鸟蚂蚁。。我就观望了两三天的样子才投的简历，看来是正确的…
14晚上投的简历并做了测评，15号变成待安排面试并且更改城市变灰了，18号周一下午收到电话安排面试。
（面了1小时30分钟的样子。。）
自我介绍
之后就是狂怼项目。。。。怼了一个小时，涉及到的东西比较广吧，大概回想到如下：
UDP可靠传输
数据库底层原理（讲MySQL数据库引擎、三范式、数据库设计）
NoSQL（优缺点，对于一些特殊的应用场景比如微博好友你怎么设计，选用什么数据库比较合适）
你认为C++与C的区别在哪？
C++多态实现原理（就从C++对象模型开始讲，把虚函数虚表指针之类的都讲了）
为什么析构函数要写成虚函数以及为什么不要在构造/析构函数调用虚函数（这里扩展多一点，举了很多例子然后从Effective C++里面提到的去讲，哪些情况必须要把析构函数写成虚函数）
怼项目细节，怼的特别细。。怼到让我怀疑这个项目不是我做的。。本人有一个仿造Nginx的轮子，所以对于master/worker进程架构、epoll的细节问的特别多
考虑过多线程吗？怎么进一步提高epoll的效率，这里跟面试官指点我可以把epoll_wait得到的描述符用多线程处理，然后处理完再放回红黑树去。
就是然后发了个链接手撕代码，让我写是STL中unique函数的实现，写了10多20分钟的样子写好了
最后10分钟就是聊天，聊业务啊、进去后能干什么啊，面试官对我的评价啊（后来二面面试官告诉我一面面试官是我老乡，我就说为啥聊的这么high ? ?）
（一面当晚7点收到面试官电话，约明天下午二面，面了50分钟的样子）
没啥好说的，就是写代码！talk is cheap, show me the code!（屁话少说，放码过来，知乎这个神翻译真的是哈哈哈哈）
先聊了聊基础知识，比如对于进程空间的理解，然后给自己挖坑。。
题目1：刚才说了进程空间，怎么求一个进程可用栈空间的大小？
题目2：序列化数组，比如[1,100,1000…]，让你把一个数组存到文件，尽可能节省空间，并且要能快速的序列化、反序列把数组读出来（反正我是没做出来。。被怼死了一度以为凉了 ? ?说了哈夫曼编码面试官不满意，说要边扫描数组边序列化提高效率，然后就是瞎扯了。。因为要节省空间，所以只能从编码的角度去思考，最后还是没写出来，只是不断在跟面试官交流思路。。）
（周一收到HR联系，说安排三面，准备交叉面，面了40分钟的样子）
一上来就直接问我熟不熟悉数据库，说了还行，结果走上了不归路。。
MySQL数据库引擎说一下
表过大会有什么影响、怎么解决（我说了水平分表和垂直分表）
刚才你说了分表，能详细说下嘛（主要解释了水平分表，说了哈希）
你刚才的水平分表固定哈希，如果想要加表、删表怎么办（果然来了！得亏知道一致性哈希算法，不然就交代在这了。。就说了下刚才的哈希算法数据迁移很不方便，然后讲了下一致性哈希算法、优点）
行成哈希环后单点故障怎么解决（我就说了心跳包机制）
怎么保证数据一致性（我都不知道为啥问了我这么多分布式系统的东西。。明明简历没写啊 ? ?面试时没了解这么深，只讲了重传数据库Log，后面了解到分布式一致性的拜占庭将军问题及其解决算法——Raft以及ZooKeeper的解决方案，反正分布式系统可以去看看，就CAP三个原则）
UDP可靠传输
select、poll、epoll讲一下
怼项目相关（怼项目的时候又扩展到了很多软件工程相关的知识，比如软件测试、软件工程导论，得亏学过，不然又凉了。。）
你对项目进行压力测试的目的是什么？主要关注哪些东西？如果要你来写一个检测系统检测阿里的业务，你会怎么写？（这里就一顿扯。。扯到了自己对于软件开发过程的理解，需求-开发-测试424原则，敏捷开发、迭***发，还有白盒测试、黑盒测试、压力测试、系统负载测试、容量测试之类的，反正就是软件工程导论+软件测试。这里因为软件工程导论学了快两年了，有点忘了，直接跟面试官说了不是特别懂， 千万不要不懂装懂！！）
看过什么源码吗？（看过Nginx的）
讲下Nginx（因为自己有个Nginx的轮子，所以就讲了下Nginx的架构、模块关系、以及accept_mutex的实现，面试官不满意。。。问我Nginx的信号是怎么传递的，直接说了不懂）
接下来就是聊人生了
你对于总监的看法是什么？你觉得总监平时的工作内容？总监的代码开发与其他工作的占比？（因为我的职业规划写了总监，结果被问了…感觉三面面试官就是总监吧，因为都在阿里工作10年了。所以就跟我聊了总监这事）
那根据你刚才的描述，你觉得总监符合你的期望吗？（当然符合啊，不然岂不是给自己挖坑！！然后说了一堆软件工程的东西，总算圆好了这个问题）
你觉得你的优点是什么？
有什么想问我的吗？
总的来说，三面广度比较大、也有一定的深度，好多次差点把自己坑死了。。。后面赶紧去恶补了下分布式系统和大数据的知识，怕交叉面被怼死。。总体感觉还算可以，后面确实也过了，隔了一天HR联系我了说给我安排交叉面。
（不知道为什么没有交叉面，直接HR面了，一点准备都没有。。因为之前说是交叉面的，所以一直在准备技术，面了20分钟）
就是很常规的HR面，没什么特别坑的地方
自我介绍
业余爱好
性格缺点
用三个词形容下自己
目前有offer了吗？还在面其他公司吗？（好了，送命题！且答且珍惜）
你有什么偶像吗？（想了想说了马云先生是我的偶像。。）
工作地？（这个问题好像我每轮面试的面试官都问了…因为我不是特别想去杭州，所以感觉部门比较在意这个，当时HR面完当天晚上二面面试官还联系我去不去杭州，最后发下来录取意向书竟然不是杭州，开心…）
有什么想问我的吗？（就问了下培养制度以及各地的业务，最后感觉前面有没有Offer的问题没有答好，所以就最后表了下如果收到Offer一定会去阿里的决心，好像有用？）
差不多就这么多，毕竟啥准备没有就被HR面了…才面了20分钟，差点都以为凉了 ? ?得亏当天晚上出去浪坐地铁的时候我二面面试官联系我了，问我能不能去杭州（感觉是问base），才觉得稳一点了，不然那叫一个慌啊??
C++开发岗
阿里巴巴面试

ㅤ普通",
"【阿里巴巴】C++岗-阿里云1,2,3,4面+hr面(已OC)","算法题：反转一个句子当中的单词的顺序
问题：
C++使用的最多的数据结构
使用vector存储数据你最多存储过多少个元素？
vector的内存是怎么管理的？底层的实现
会自己定义类型对吧？如果使用空指针的话经常会core dump对吧？是不是空指针就没有办法调用类型上的函数了？
python的 __ new __ 方法知道是干什么的么？
python的元类使用过么？__ meta_class __ 使用过么？是解决什么问题的知道么？
unordered_map 和 map的区别
使用的是c++的那个版本？
问一个可能比较难的问题：如果c++ 当中判断一个类型有没有某个方法你有哪些方式可以做到？发散一下思维，这个问题可能比较难。
说一下为什么选取openfaas？
容器池的概念
如果用户的执行代码只需要1-20ms 如果每次都起一个docker 那么延迟就比较高
协程和线程的区别
对于原来的实现，你有没有对比过两者的性能？
orm 框架给你带来的哪些的好处？
在golang里面实现一个orm框架该怎么实现？
短时间学习一个语言和做一个项目你会怎么做？
设计接口是做了多少的工作量？
了解过k8s，大概讲一下一个pod是怎么被创建出来，怎么被删除的？
websocket能做负载均衡么？
面了1个半小时，面试官非常的有礼貌，但是面的我精疲力竭。。。。
主要稳项目以及处理问题的细节。
先手撸算法题：
CanTransform：
如hit->hat，hat->cat，cat->fat。但是不能单步从hit->hog。设计算法判断给定输入能否在字典范围内经过任意次步骤完整转换。
马上下午5点P9的三面！！！ 感觉阿里云是真的难。。。如果过了我再来刷新一下3面的面经。
面试时间30分钟。
约得是明天上午的hr面，形式是视频面试。看来还是很正式的。总算走到了最后这一步，还是很幸运能够面到这一步。继续加油吧！！
面试比较正式，是使用阿里的一个视频软件进行面试的。
大概进行了20分钟的面试：
目前已经签了意向书，正在走offer的统一流程。
C++开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】C++岗-阿里云暑期实习,"自我介绍
讲项目
unix socket涉及到协议栈哪一层？
Client，server消息传递在7层的传递流程
传输一个包时会有什么操作？
Ip分包的时候是怎么分的，mtu，局域网间是怎么样，广域网是怎么样
Tcp三次连接，连接时，syn报文丢了怎么办，返回给server的ack丢了怎么办
Tcp所有的状态，Time wait知道么
讲解程序启动流程，从编译到启动
静态链接库，动态链接库
强引用，弱引用
Define和const区别
反转链表
最长递增子序列
快排
讲项目
Linux Aio底层实现机制了解么，又讲到了同步异步阻塞非阻塞
epoll底层实现了解么？使用上的了解
client，server实现过程，用到了哪些Api
TCP三次连接，四次挥手
Tcp连接建立成功后，保持高流量发送数据，突然client发送流量变成了几KB，分析一下原因
Tcp拥塞控制了解么？了解其中使用的一种算法？
进程线程区别
进程通信方式
快排思想，复杂度分析
自我介绍，讲项目（每个项目都讲了一遍，感觉讲了半小时）
讲了网卡多队列的模式，是在三层分配得软中断，还是四层分配的，然后还问我看没看过网卡硬件说明书
epoll两种模式，惊群效应是什么？
IP报文在经过路由的时候会修改哪些标志位
Tcp四次挥手
业余时间还做了哪些工作，讲了毕设
介绍项目
linux中断机制
linux开机启动流程讲解
C++开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】C++岗-淘宝技术部面筋~(已拿offer),"昨天收到等了大半个月的HR的面试电话。面完HR说一周给结果。。
发一波面经攒攒人品。。
背景：985小硕，方向：C++
虚函数实现机制（问的比较细）
纯虚函数
数据库索引原理（这块脑抽答错了 后来面试官人很好给我引导到B+树上去）
聚集索引
TCP UDP 端口扫描 三次握手中 客户端和服务端主动链接关闭所处状态简述
我记得一面面试官 问了很多关于网络的问题 （具体的现在忘记了）
守护进程
多进程之间通信方式
Buffer 和***
缓存命中和不命中
CDN
微信获取权限的协议？（这个在百度问到了，后来在阿里又问到了，大家可以搜一下基于token 的后台管理 与普通用户名密码验证有什么具体不同）
关于共享内存 mmap 映射文件。
D***
分布式存储解决方案
https
加密解密 加密算法（这块没答好）
Taf服务端源码/taf 客户端源码
当天在北京 被百度三面官虐完之后浑身疲惫，找了几个咖啡厅噪音都很大。感觉面试官体验很不好。大家以后远程面的时候一定一定要找一个安静而且网络好的地方
问了问项目，然后画风一转直接问你优化的点在哪里
服务器性能提升方案
PS: 因为几个项目都和网络安全传输有关，三面面试官让我详述如何提升数据包在网络中的安全传输 安全性可靠性等问题
TIME_WAIT 的 2MSL
看过哪些源码
负载均衡
数据库的垂直拆分和水平拆分
总结： 阿里的面试官人都超级NICE,
感觉自己运气很好，三次面试的问题难度都不是很难。对了，因为我是C++，我面的那个部门没有这个坑，二面总监问我转JAVA 可不可以。。我说我0  JAVA基础，但我可以学。 在三面中，我和交叉面面试官解释了一下，他就真的一个JAVA的问题都没有问。。。
自身缺点
未来技术规划
讲一讲你的项目和你的职责
阿里百度腾讯同时给你发offer 你怎么考虑
如果出现比阿里更高的薪水怎么选择
C++开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】C++岗-杭州站 c++研发面试小记,"今天下午面试，从1一点半持续到5点。晚上把今天面试的内容整理下，问的东西很多，有些问题记不起来了，下面是我记得比较清楚的。
（面试官非常懂c++，你说你看过什么书，他就拿书上的东西问你，问的很深，问很多为什么，直到你不会，再引导你）
class A {public: int a[100]; }; A* pa = new A[100]; delete pa;上述代码是否有问题？会内存泄漏吗？（不会）
delete 跟 delete []到底内在有何区别？什么情况下必须用delete []，否则内存泄漏。
c++中string的赋值函数怎么实现？浅拷贝还是深拷贝？浅拷贝会有什么问题？（一个string delete后，另一个string持有的数据也被清了）深拷贝会有什么问题？（重复，耗费内存）所以，较好的实现应该怎样？（执行浅拷贝，设置一个引用计数，计数减少为0时delete）这样会有线程安全问题吗？怎么解决？
（面试官是个搞java的，整体面试气氛有点怪，他不知道问啥好，但又不得不问，挤出了几个问题）
​    5月22日更新，已收到录用通知。
C++开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】C++岗-阿里云基础平台部门面经,"春招：蚂蚁CTO计算存储，二面挂，平头哥拒了面试，不想写芯片驱动，后来看流程还在不知道的时候被简历挂了两次。
秋招考虑到自己硕士研究是网络方向，就没有再投无意向，而是选择了更契合的基础平台的云网络部门，很快就走完流程。
1.研究优化传输方案的评价标准时，对比完成相同文件传输完成时间考虑因素的完备性，面试官指出是否考虑因存储介质，不同拥塞控制算法以及滑动窗口的大小导致的结果偏差。
2.探测网络参数阶段，对使用的IFIT技术提出质疑，包括轻量级以及实时性，同时给出建议研究bbr算法的探测。
3.问是否了解MP-TCP和quic协议
1.对MPLS的了解，答：IDP利用IGP算路，使用等价转发类转发相同标签数据
2.SR 相较于 MPLS的优点，答：MPLS利用IDP没有直接算力，有可能更新失败导致流量黑洞，SR直接使用IGP，同时可以通过源路由规定后续的流量走向（包括链路限制和节点限制），可以做到选路功能。同时由于规划流量路径更适合与NFV相结合。
3.SRv6 相较于 SR MPLS 的优点，答：SRv6比SR MPLS多了可编程性，利用SRH的三部分，可以对转发行为等进行更多维的编程，同时转发平面使用IPv6更适合向未来网络过度。
春招期间参加阿里面试投了无意向，然后被迅速kpi，后续几乎都是简历直接挂，所以选择一个合适的事业群和部门非常重要，以及如何利用好自己的优势。同时在准备面试时，可以多找寻与部门相关的面经或者介绍，了解部门的面试偏向性，这样准备起来就会轻松很多。
C++开发岗
阿里巴巴面试

ㅤ普通",
