问题,回答,所属分类
什么是 Spring Boot？,"快问快答：Spring Boot 是 Spring 开源组织下的子项目，是 Spring 组件一站式解决方案，主要是简化了使用 Spring 的难度，简省了繁重的配置，提供了各种启动器，开发者能快速上手。

官方网站：http://projects.spring.io/spring-boot/
GitHub源码：https://github.com/spring-projects/spring-boot

Spring Boot基础

ㅤ普通",
SpringBoot有哪些优点？,"Spring Boot基础

ㅤ普通",
SpringBoot有哪些缺点？,"任何技术都是有优缺点的，没有银弹，解决一切问题，不留任何小尾巴
SpringBoot优点概括起来就是简化：简化编码，简化配置，简化部署，简化监控，简化依赖坐标导入，简化整合其他技术….
SpringBoot的缺点是入门简单精通难，各种强大的功能封装的太好了，内部原理比较难得参透！再就是用多了容易产生依赖，就像嗑药似的，用了就离不开了；SpringBoot一旦出了错误，由于内部封装比较深，部分错误调试难度比一般Spring应用程序要大很多！
当然完全不必纠结与SpringBoot的缺点，毕竟SpringBoot的优点太突出了。
Spring Boot基础

ㅤ普通",
Spring Boot 的核心配置文件有哪几个？它们的区别是什么？,"Spring Boot 的核心配置文件是 application 和 bootstrap 配置文件。
application 配置文件这个容易理解，主要用于 Spring Boot 项目的自动化配置。
bootstrap 配置文件有以下几个应用场景。
Spring Boot基础

ㅤ普通",
Spring Boot 的配置文件有哪几种格式？它们有什么区别？,".properties 和 .yml，它们的区别主要是书写格式不同。
1).properties
app.user.name = javastack
2).yml
app:   user:     name: javastack
另外，.yml 格式不支持 @PropertySource 注解导入配置。
Spring Boot基础

ㅤ普通",
Spring Boot 的核心注解是哪个？它主要由哪几个注解组成的？,"主要组合包含了以下 3 个注解：
Spring Boot基础

ㅤ普通",
开启 Spring Boot 特性有哪几种方式？,"快问快答
1）继承spring-boot-starter-parent项目
2）导入spring-boot-dependencies项目依赖
详细介绍启动方式
Spring Boot依赖
使用Spring Boot很简单，先添加基础依赖包，有以下两种方式

Spring Boot依赖注意点

  This only works if your Maven project inherits (directly or indirectly) from spring-boot-dependencies. If you have added spring-boot-dependencies in your own dependencyManagement section withimportyou have to redefine the artifact yourself instead of overriding the property.

Spring Boot依赖包里面的组件的版本都是和当前Spring Boot绑定的，如果要修改里面组件的版本，只需要添加如下属性覆盖即可，但这种方式只对继承有效，导入的方式无效。
如果导入的方式要实现版本的升级，达到上面的效果，这样也可以做到，把要升级的组件依赖放到Spring Boot之前。


  Each Spring Boot release is designed and tested against a specific set of third-party dependencies. Overriding versions may cause compatibility issues.

需要注意，要修改Spring Boot的依赖组件版本可能会造成不兼容的问题。

使用继承Spring Boot时，如果要使用Maven resource filter过滤资源文件时，资源文件里面的占位符为了使${}和Spring Boot区别开来，此时要用@…@包起来，不然无效。另外，@…@占位符在yaml文件编辑器中编译报错，所以使用继承方式有诸多问题，坑要慢慢趟。
Spring Boot基础

ㅤ普通",
什么是JavaConfig？,"Spring JavaConfig 是 Spring 社区的产品，它提供了配置 Spring IoC 容器的纯Java 方法。因此它有助于避免使用 XML 配置。使用 JavaConfig 的优点在于：
Spring Boot基础

ㅤ普通",
SpringBoot自动配置原理是什么？,"xxxxProperties:封装配置文件中相关属性；
Spring Boot基础

ㅤ普通",
SpringBoot、Spring MVC和Spring有什么区别？,"Spring Boot基础

ㅤ普通",
SpringBoot启动时都做了什么?,"Spring Boot基础

ㅤ普通",
SpringBoot 需要独立的容器运行吗？,"可以不需要，内置了 Tomcat/ Jetty 等容器。
Spring Boot基础

ㅤ普通",
什么是YAML？,"YAML 是一种人类可读的数据序列化语言。它通常用于配置文件。与属性文件相比，如果我们想要在配置文件中添加复杂的属性，YAML 文件就更加结构化，而且更少混淆。可以看出 YAML 具有分层配置数据。
Spring Boot基础

ㅤ普通",
