问题,回答,所属分类
滴滴 Golang岗开发面经汇总,"本系列将提供滴滴 Golang岗位历年面经，所有面经都有候选人面试之后根据回忆整理而出，大家可以通过面经来复习以及看看滴滴面试难度。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 【滴滴】Golang岗-大四狗的实习面试
1. 【滴滴】Golang岗-大四狗的实习面试
2. 【滴滴】Golang岗-中台开发实习生(已offer)
2. 【滴滴】Golang岗-中台开发实习生(已offer)
3. 【滴滴】Golang岗-基架秋储实习生面筋
3. 【滴滴】Golang岗-基架秋储实习生面筋
4. 【滴滴】Golang岗-已经凉凉╮(╯▽╰)╭
4. 【滴滴】Golang岗-已经凉凉╮(╯▽╰)╭
5. 【滴滴】Golang岗-备受打击的神魔面经
5. 【滴滴】Golang岗-备受打击的神魔面经
Golang开发岗
滴滴面试

ㅤ普通",
【滴滴】Golang岗-大四狗的实习面试,"面试官上来直接就问，（我内心，卧槽，这面试官，牛批，省的自我介绍了，我信息都在简历上写的，有啥可自我介绍的，顿时对面试官好感度倍增）
面试官说：“XXX是吧，XX大学？来，我问你几个专业问题哈！”（这开场，牛批，真爽，上来讨论技术多好）
为什么转golang的
为什么不考研啊
Golang的一些问题，channel的实现、GPM、Goroutine的实现方式等等等等，一些Golang的常见底层原理性问题吧。
mysql的索引有哪些（顺便说了哪个索引是哪个存储引擎的，B+树的实现方式，每个存储引擎的使用场景，还自己多加了一个memory存储引擎）把自己能联想到的都自己说了出来
然后。。。。mysql就没了，可能是我自己大致都说了吧。但是我还没说一起其它的锁之类的其它很重要的知识点。
reids：
存储结构（hashtable），竟然没和我谈论各个数据结构的底层实现
redis 的内存分配方式、哪个分配器，
内存碎片是怎样发生的，怎样解决。
然后上面的数据库这一方面就结束了
题：
一串字符串，返回其的最大周期，比如说abab，返回2，ababc 返回1，因为ab不是规范的循环，abababab，返回4，而不是2。
然后我理解错了，理解成了即使在ababc的情况下，返回的应该是2，因为ab循环了两次，然后就开说说我的想法，和面试官讨论，我说使用KMP算法的next思想，然后把我的思路完整的说了
一下，然后面试官说其实暴力一下就可以，我认为暴力会浪费太多的资源，就开始反驳，然后让人笑掉大牙的是，是我考虑的问题比面试官给我出的题复杂了不止一倍。然后又回到了原题目，
然后让我重新构思，我想了一下，即使在简单情况下我的方法也绝对比暴力要快，然后又开始和面试官争论，从复杂问题争论到简单问题，从短字符串争论到超长字符串，谁的速度快，为什么快。
可以通过哪些技巧加快速度，有哪些特性，以及实现之后的复杂度，最后的结论是在字符串长度小且重复元素少的情况下，暴力法绝对比我的快，但是相反的情况，我可以比暴力法快出几倍，甚至几十倍。
然后聊完就有点累了。面试官和我说了一下我什么时候可以去，有多大的概率可以去，说了一下滴滴的实习生薪资，等等等等，感觉面试官对我很好，其中重点给我解答了一下部门的职责等等。聊的很开心，
之后加了微信，让我不懂的问他。（不得不说，面试官的孩子很可爱）
golang的一些基本问题，可以说是语法层面的吧，没有问我底层实现。
linux的一些常用命令
对golang的理解
还有自己使用过的框架、了解过的框架、orm、数据库、使用的什么客户端等等、一些项目架构方面的知识
然后我问了一下，您决定我的通过概率有多少。。。。。呵，我个直男。。。。。
然后二面面试官和我说一面面试官对我挺满意的，（一脸懵。。。。我是完全不懂面试结构是咋样的，现在才知道。。原来一面掌握我的生杀大权啊。。。）
然后就说，之后会有一些工作就没了，然后，我在微信上和一面说，哥，我觉得我过了，面试官和我说，你干掉了203个和你一起投简历的同学。。。
下午，hr打电话发offer，等流程，
唔，来自某渣渣程序员。。。。加油，希望以后能在滴滴解决更多的效率问题，优化。。。
Golang开发岗
滴滴面试

ㅤ普通",
【滴滴】Golang岗-中台开发实习生(已offer),"先说一下个人的总体情况，西电大三计科，没有实习和太多实践经验（只有自己写的博客什么的），数据结构和算法还行，在滴滴前面过很多次字节，三次三面挂，好未来golang过了，还有许多中小厂就忘了，也没过。总共也许接近二十次面试经历？滴滴的面试体验在我的个人经历里算是非常不错的，就是事后通知太慢,还是我自己去问的二面….
二面都是三天前的事情了，所以可能忘了很多问题，不过还是给大家一个参考吧
数据库：
索引（答了聚簇索引和非聚簇索引）
非聚簇索引是如何查询的
隔离级别
RR是如何实现的（INNODB MVVC）
在RR级别下能够读到事务ID靠后未提交的修改吗（不会，提示说是锁，最后告诉我加写锁，建议我自己去试一试）
网络：
UDP,TCP
TCP差错控制、流量控制，拥塞控制
HTTP（没答出3.0是啥）
RESTful
go：
切片和数组
切片的问题
go的通信实现
channel的底层
map的实现
哈希过程是什么样子的
桶的增加（这个具体还挺复杂的）
map线程安全吗？sync.map
gc过程
算法：
反向输出层序遍历（简单）
反问：
什么部门？
网络：
get，post区别，post就不能在URL上附加参数吗（可以，http只是规范，服务端会解析你爱怎么样都行）
三次握手如果改成发序列号x，回序列号x+1，再发x+2可以吗？（序列号预测攻击）
数据库：
索引
给了实际问题是并发问题（忘了是啥）
如果有很多很多数据，分页显示，如何去做
联合索引
分布式环境如何加锁（不会）
go：
sync.map实现
map哈希过程(讲错了一点点，忘了可能插入相同键不同值)
锁的底层实现是什么（不会，给了个人的猜测）
聊天半小时：
你个人常写代码吗？
你最主要的代码规范经验是什么？
万一公司有很多不合理的规范怎么办？
你想学到什么？
不符合你的预期怎么办？
实习多久
算法：
二叉树和为n的从上向下路径（简单）
反问：
听说go有什么什么的缺陷，你怎么看
base地点能选杭州吗（只有北京，可惜了，还是更想杭州离家近）
更新
又想起来一个问题，多线程处理问题你觉得开多少个线程(开放问题，情景自己考虑)
Golang开发岗
滴滴面试

ㅤ普通",
【滴滴】Golang岗-基架秋储实习生面筋,"背景：我之前在B站和字节实习过，两份实习用的都是Golang，滴滴这边用的也是Golang
上来简单做了个自我介绍，然后直接开始问问题，全程没有问实习相关和项目相关，问题基本集中在操作系统、计算机网络、数据库和Golang本身，我感觉是因为不同的部门有不同的考察侧重点，可以理解
全程面试官都是以一种和我探讨问题的姿态和我聊天，遇到不会的也会告诉我答案和相关技术，面试体验相当好~
操作系统：
计算机网络：
数据库：
Golang：
一次愉快的面试就这么结束了~发现自己的基础还是有不足的东西，很多组件都太过专注于高阶的实现和设计思想，反而忽略了最基础的使用层面上的东西，回去需要打打基础了QAQ
Golang开发岗
滴滴面试

ㅤ普通",
【滴滴】Golang岗-已经凉凉╮(╯▽╰)╭,"1.简短自我介绍（直辖市某普通一本，蓝桥杯国一）
2.项目经历（我自己写过一个在线聊天室之类的，面试官问有没有更好的办法实现在线聊天的功能）
3.计算机系统相关（进程间如何通信，多进程，多线程的实现，问到多线程的时候就顺便问Go语言的协4.程底层，Go Channel，Go 协程，Golang 的 goroutine 是如何实现的？）
5.计算机网络（HTTP协议的报文结构，TCP流量控制，拥塞控制，TCP三次握手，四次挥手）
6.MySQL索引（mysql 聚集索引和非聚集索引，多级索引）
7.k8s(是否了解k8s ingress)
8.docker（docker run、exec和attach使用和区别）
9.数据库原理相关（事务，事务的隔离级别，四大特性）
10.Redis数据库（给你一个场景选择redis数据结构）
11.算法（链表倒数第k个元素，我当时说的是翻转链表然后遍历一下，面试官问 不想伤害原链表呢（没答上来））
12.算法（大根堆的应用）
总结：基础一定要扎实呀，各位朋友们,第一次写面筋，有啥问题欢迎指正。
1.项目经历（聊了很多我做的爬虫项目）
2.多线程（如何给线程设定执行时间，超过时间限制则让线程死掉）
3.MySQL数据库（多级索引，多列索引（根据多列构造索引））
4.查询分页如何实现（主要是问后端 分页查询如何实现）
5.算法（二叉路的子路径和 满足子路径和为某一特定值的路径）
6.聊实习时间，可以实习的时长等等。
Golang开发岗
滴滴面试

ㅤ普通",
【滴滴】Golang岗-备受打击的神魔面经,"介绍GMP模型、说说go并发GMP版本迭代的过程？说说如何避免全局队列饥饿？
GC算法，说说哪个不用扫描
现在linuxCPU爆表，如何排查，IO爆表，如何排查
说说如何实现map并发？不加锁如何实现map实现线程安全？（我他么真的无语，他说的不会是使用channel吧……）
然后上一个我说不知道，他就问你说说channel，channel的原理，为什么要用channel 而不用sync？
说说单例模式，说说sync.Once如何实现的？（我透……）
写题，第一个题，那么简单的题我直接就写了，结果面试官说我以前是不是写过，我说没写过，我还没写完就换题
然后第二题，数组很长的情况下N个有序的数组求交集并集。我求交集的时候给了三种思路，他说我没有用到有序这个特性，然后我问他怎么写，他说的和我第三个思路是一样的。我？？？？？？然后他说和我的不一样让我再看看也没说完就挂了。
各种基础题没啥好说的。感觉面试官挺亲和的，虽然迟到了一个半小时，本来打算去吃饭了，面试官上线了。
写代码，心烦意乱就没写出来，其实很简单，一开始思路说了面试官也说没问题
第二题：有n个球，两个人轮流拿，每次只能拿【1，7】个，就是一次最少拿一个，最多一次拿7个，最后拿的最后赢，如何保证谁稳赢？这个题挺简单的，但是当时没想出来，面试官说结束后我看了看当时分析的笔记又想出来了，心态又崩了。
rabbitmq如何保证消息不重复发送，这边印象模糊了，就说了借助redis的方案，面试官说那他原生支持了吗？这边我说印象中没有，他问我确定吗？
比较rabbitmq 和 rocketmq，要求详细比较。我rocketmq就学了两天，没给出答案。
写题：一个数组的斜着遍历。模拟了一下之后，问还有没有别的思路，？？？？？？？说没有。
反问，结束。
总的来说挺被打击的，而且三次面试面试官那边都很吵，状态很差。
还是顺便许愿吧，心情挺down的。
Golang开发岗
滴滴面试

ㅤ普通",
Shopee Golang岗开发面经汇总,"本系列将提供Shopee Golang岗位历年面经，所有面经都有候选人面试之后根据回忆整理而出，大家可以通过面经来复习以及看看Shopee面试难度。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 【Shopee】Golang岗-攒人品的面经
1. 【Shopee】Golang岗-攒人品的面经
2. 【Shopee】Golang岗-base深圳，春招(已oc)
2. 【Shopee】Golang岗-base深圳，春招(已oc)
3. 【Shopee】Golang岗-凉凉的后端开发面筋
3. 【Shopee】Golang岗-凉凉的后端开发面筋
4. 【Shopee】Golang岗-赶上了春季末班车校招
4. 【Shopee】Golang岗-赶上了春季末班车校招
5. 【Shopee】Golang岗-超详细的后端面经
5. 【Shopee】Golang岗-超详细的后端面经
Golang开发岗
Shopee面试

ㅤ普通",
【Shopee】Golang岗-攒人品的面经,"（虾皮的面试系统是白板，acm模式，需要自己写包，import，方法，输入输出）
1  linux移动文件夹和文件夹的所有稳健，命令是啥
2  linux查内存，查cpu命令
3  虚拟内存是怎么用的，优点是什么
4  线程和进程的区别（那协程的区别呢？协程为什么快，怎么理解协程，协程的轻量级是哪里轻）
5  go 主协程等待子协程执行完毕再执行，有哪些方法
6   http和https的区别
7   https的加密过程
8   hashmap的原理，怎么实现的（go里的map），哈希冲突的解决方法是什么，拉链过大怎么办
9   数据库索引的聚簇索引和非聚簇索引的区别
10 索引的存储方式（存储结构）
11 索引的优点和缺点
12 go的调度模型了解吗，讲一下
13 go的gc垃圾回收，是咋样的。不同版本有没有什么演进呢
14 go之间的线程同步是怎么做的  go的sync包都有什么东西
应该还有一些go的问题，想不起来了
算法
一个数组nums，一个target，在数组中寻找target，如果数组中存在，则返回target的下标。若数组中不存在，则返回target应该插入位置的下标
（一开始想用二分，但是面试官反复强调没有那么难，就用了从头到尾的遍历，然后判断逻辑，找位置，面试官一直说我写的逻辑太复杂（判断分支过多），让我优化，优化了15分钟，没有优化到最优，面试结束坐电梯就想到了。。。）
自我介绍完了，
来个算法（吓得一激灵）
一个可重复的乱序数组，一个target，求出这个数组中有多少对不重复的数组对之和等于target
比如 1 3 -5 1 -7 target = -4
有 (1,-5) (3,-7)两个数对
先说思路：  第一思路，排序，双指针，时间复杂度 nlogn + n
还能不能优化    用map（后来一看，这不是leetcode 两数之和吗），一个存正常的，一个存重复的，判断一下即可
开写，XXX（2分钟），自己来个用例，ok
以下都是实习和项目
中间夹杂的：
sql的优化，bug的解决方法
redis是做什么用的，你觉得它有多少qps。
聊人生
求hr面
8.2
已经收到hr面了
求过
求oc
Golang开发岗
Shopee面试

ㅤ普通",
【Shopee】Golang岗-base深圳，春招(已oc),"3.10 笔试，平台卡崩数次，发邮件说可以参加3.17笔试
排列组合五人一排AB在头尾的概率是多少
给一个入栈队列一个出栈队列，求栈最大长度
如何推测全世界的猪的数量，开放讨论
排序算法那些是稳定的
给个算法算复杂度
TCP三次握手谁先发送fin请求
Mysql事务概念，什么时候会回滚？事务进行中途挂掉会怎么样
常用的HTTP状态码，patch用来干什么的？
算法：最大数
redis用来干嘛，有些哪些数据结构，zset底层实现有哪些
go channel 实现、用途
数组与slice的区别
mysql、mongoDB、redis区别
mongoDB索引、objectID原理，用的哪个版本？
Mysql的事务，怎么实现
go 垃圾回收，有什么优化
多路复用了解吗
线程协程区别，gorouting调度方法
算法：相交链表
最近在学什么，看什么技术书籍
确认信息，项目经历，团队合作，学习成绩，实习情况，offer情况，了解虾皮吗，反问
4.2 收到OC！
Golang开发岗
Shopee面试

ㅤ普通",
【Shopee】Golang岗-凉凉的后端开发面筋,"1.有环链表
一个有环的链表，如何确认链表有环，环的长度。
2.hashmap
设计一个hashmap，你要用什么数据结构
能用数组能做为存储hashmap的数据结构吗？
不能的话，要怎么做？
怎么解决hash冲突
你的设计里怎样根据key查找对应的值
3.mysql 事务
mysql事务的隔离级别有几种，分别阐述
在串行化隔离级别中，怎么加读锁和写锁，这里的锁是什么锁：表锁？行锁？还是其他锁？
4.mysql的索引


5.Linux 操作相关
如何查看cpu占用
top命令中idle字段的解释
如何查看端口占用
如何查看文件操作权限
ls -al 中 每行前10个字符的意思
如何更改文件权限
6.go 相关
介绍一下协程，协程和线程的关系
MPG模型
一个main函数内用go 开启多个协程，现在一个协程panic了，main函数会怎样？ 为什么？
用户态和内核态
7.tcp相关
tcp和udp协议的区别，tcp有而udp没有的特征有哪些
tcp中滑动窗口的原理，假设窗口1,2,3已经发送，远端ack 4 ，这时候滑动窗口要向前移动吗？为什么？
8.http相关
http如何实现有状态连接
cookie 和session的区别
9.编程题
字符串加法：实现加法，但是输入和输出的数字都是字符串格式
Golang开发岗
Shopee面试

ㅤ普通",
