问题,回答,所属分类
阿里巴巴Java岗开发面经汇总,"本系列将提供阿里巴巴Java岗位历年面经，所有面经都有候选人面试之后根据回忆整理而出，大家可以通过面经来复习以及看看阿里巴巴面试难度。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 【阿里巴巴】Java岗-基础平台研发工程师面经
1. 【阿里巴巴】Java岗-基础平台研发工程师面经
2. 【阿里巴巴】Java岗-非科班水硕春招
2. 【阿里巴巴】Java岗-非科班水硕春招
3. 【阿里巴巴】Java岗-热乎乎的浙江扁鹊面经
3. 【阿里巴巴】Java岗-热乎乎的浙江扁鹊面经
4. 【阿里巴巴】Java岗-五面上岸阿里天猫
4. 【阿里巴巴】Java岗-五面上岸阿里天猫
5. 【阿里巴巴】Java岗-新零售凉经
5. 【阿里巴巴】Java岗-新零售凉经
6. 【阿里巴巴】Java岗-AE部门四面(已发意向书)
6. 【阿里巴巴】Java岗-AE部门四面(已发意向书)
7. 【阿里巴巴】Java岗-后端暑期实习3面+HR面
7. 【阿里巴巴】Java岗-后端暑期实习3面+HR面
8. 【阿里巴巴】Java岗-五面阿里，终拿P7 offer
8. 【阿里巴巴】Java岗-五面阿里，终拿P7 offer
9. 【阿里巴巴】Java岗-阿里云研发
9. 【阿里巴巴】Java岗-阿里云研发
10. 【阿里巴巴】Java岗-淘宝特价版实习
10. 【阿里巴巴】Java岗-淘宝特价版实习
Java开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】Java岗-基础平台研发工程师面经,"面试官是当时发内推邮件到我们学校的人，为人比较和蔼，全程带着笑，然后上来先问了英语成绩，唔，我是那种雅思半途而废不想考的人了，不过他问的是四六级，我就说我六级480（当时觉得考过了就没继续了）。然后他就叫我英语自我介绍，人都懵了，看了半天面经也没看到这出啊，然后硬着头皮说了，再然后就是一系列针对简历的提问了，其实有一个问题我已经被问了无数次了，就是，你给我说说你这些项目里你觉得做的最好的吧，这个之前准备过了，我就一顿balabala说，然后他问道什么就答，因为我的项目大多是课程的项目，列在简历上的也都是偏算法的，所以没给到面试官一些问到我非常技术向的问题，然后我们就愉快的把简历给聊完了，再然后他看到我写熟悉java，问了一些并发的问题，问了volatile。这个刚好看过，不过回答的也比较凌乱吧，基本就是从缓存一致性说了一下。最后他说写一道题，给我20分钟，题目是

  ​    有一根10米长的绳子，需要裁剪后卖出。每次裁剪的位置只能是整数长度的位置，如：1米、5米的位置。不同长度的绳子对应的售卖价格不同，长度从1米到10米价格分别为：1，5，8，9，10，17，17，20，24，30。现在需要找到一种最优裁剪绳子的方法（可裁剪多次或0次），使得最后卖出的价格最高。请设计一个算法找到最优的裁剪方法，并算出最高的卖出价格。

这个想了一会，心想10米不就是1+9，2+8，…等的组合么，然后比如4+6，只要4是最优，6是最优，那4+6就是最优，所以是一道比较经典的动态规划了？
然后他给了我一个网页链接，是一个阿里内部的在线IDE，比较难用，也没有代码补全，而且也有点卡，比牛客网做的讲实话是要差一点的，然后我怕我写不完，我说我可以先说思路吗，他说，没事，你先写，你说完思路就没时间了。
然后我就硬着头皮磕，最后卡点时间到了，刚好写完，一运行，在线IDE报错了，看不懂（后来在自己电脑上运行了一下，是StackOverflow），然后他说没关系，我就给他说了下我的想法，然后就是正常你还有没有什么问题，没问题面试就结束了
二面也是同一个部门的，这个面试官就更和蔼了[捂脸]，上来先聊了半天学校。然后也是问简历，对着简历问，这里大家简历都不一样我就不一一说了，个人觉得只要你能把做的每件事情都说清楚就好了。他这次基本没问到什么面经上会出现的问题，问的比较独树一帜，比如说，你有没有想过你个这产品为什么不能推广。估计是大佬的视角不一样吧。然后这次面完比较直接，说给我安排交叉面。
三面是交叉面，不是一个部门的，但是估计也是大佬，然后这次是电话面试，比较猝不及防，我都准备好电脑了，谁知道他说直接在电话说，然后这个面试官就偏技术向一点了，上来就问Linux，然后又问我，你可以说说给我说说进程线程嘛，然后因为这个问题比较广，我直接一股脑，把所有能想到的都说了一边（感谢t老师，提前在课上说了很多这些东西），然后又问了一些杂七杂八的，但是我不太记得了，因为当时的确电话面会紧张很多，然后他问我为什么不读研，这是人生一大难题哇，我就不说我怎么回答的了，这种问题因人而异。最后面试结束的时候，我问了问他对我的评价，他说我觉得你还是懂得， 就是说的很乱（我也觉得)，大概是这样，当时面完感觉不是很好，因为这个面试官是电话面的，然后也不怎么爱说话，他一安静我就觉得我说的不好，我就又拼命补充，就越说越乱。
（今天HR面的时候，最后我问了问三面的评价，HR念给我评价的时候，我觉得我还是太担心了，三面面试官的评价还是不错的哈哈）
HR面的话，就偏聊天向了，总的来说这几次面试都比较和蔼，不特别硬核，面试官更多看你给他的感觉吧
Java开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】Java岗-非科班水硕春招,"Java开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】Java岗-热乎乎的浙江扁鹊面经,"投了一段时间了，还以为简历被刷了，没想到五一收假后立马来了个面试电话，lz 也没想太多就直接面了，面试官还是挺好的，不懂的还耐心引导和解释部分问题，这点挺好的，面试结果说是综合整体面试情况再决定是否有下一轮面试，多半是婉拒了吧，留下了没技术的泪水.jpg，下面是记录的面经分享给牛油们，希望对大家有所帮助。
Java开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】Java岗-五面上岸阿里天猫,"打印101~200之间的所有素数并统计个数
给一个字符串pattern，和一个字符串，返回是否匹配 abba my ha ha my
时隔19天，终于接到三面的电话，心态爆炸，阿里的面试流程简直无理吐槽。
自我介绍
本科成绩
考研成绩
项目介绍
项目中难点
项目的深层长远考虑
为什么要来天猫实习
20分钟的面试，让我等了差不多20天，也不知道怎么准备，就这么稀里糊涂的面完了，也算了了一桩心事，剩下的听天由命吧。佛了
时隔13天，接到了面试官电话，直接面
了解一下项目
都做了什么
项目时部署在公网吗，然后就说网址面试官直接登录，用测试帐号看了一下
最后聊了聊具体模块设计和实现
HR面 4.24 18点左右
北京在下雨，吃饭的路上接到hr电话，很激动
聊聊本科和研究生学习方面
项目方面
意向以及工作城市选择
可以来杭州吗？（我在北京）
有什么问题问我吗？
我问：
可以告知面试评价和评级吗？
答：不要担心，能面到HR说明评级没问题。
大概什么时候有结果呢？
答：阿里每周五下午和晚上统一发放意向书，请注意关注。
感谢
感谢一起和我在实验室奋斗的同窗，大家互相鼓励才得以坚持下来，感谢牛客给我提供这个互联网求职平台，使得我可以接触到这么多优秀的牛友，大家一起分享知识一起加油。
希望大家的努力都不被辜负，也祝所有人都能在接下来收到满意的offer
Java开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】Java岗-新零售凉经,"Java开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】Java岗-AE部门四面(已发意向书),"（面试没有录音，仅凭回忆记录，可能不全，仅供参考）
问项目30分钟。
操作系统：
1、操作系统都有哪些内容啊？（答：进程管理、内存管理、文件管理）
2、进程通信的方式？每种方式的应用场景？进程如何保证并发的？讲一下信号量？什么是临界区？
3、操作系统怎么进行内存管理？每种方式有什么优缺点？
4、页式存储和段式存储分别应用在什么场景下？
计算机网络：
1、http为什么说是无状态的？
2、http和https的区别？（我正准备将https的连接流程呢，面试官直接打断，下一个问题）
3、TCP和UDP有了解吗，说一下区别？
数据结构：
1、说一下排序算法有哪些？
2、讲一下归并排序？归并排序是稳定的吗？（我忘记了，回答不稳定，最后面试官细心引导，我才想明白）
数据库：
1、说一下数据库有哪些索引？索引都用在什么情况下？
2、说一下B+树？为什么B+树比B树更加矮小，查询效率更高？
3、根据索引查询的过程是什么？
最后两道题：
1、写一段代码，实现三个线程，第一个线程打印1,2,3,4，第二个线程打印5,6,7,8，第三个线程打印9,10,11,12，
然后第一个线程再去打印13,14,15,16，一直打印下去。
2、手写观察者模式
一面结束三小时就给二面了！
让我有点震惊的是，没有问技术问题，总体来说就是聊天。
1、自我介绍一下？
2、研究生阶段主要的工作任务简单说一下
3、你觉得对你影响最大的一个朋友或同学是谁？能简单介绍一下哪些方面对你有影响吗？
4、你能分享一下你觉得你最有成就的一件事吗？
5、你在项目当中有没有遇到与其他人协作方面的问题？如何解决的？
6、你能说一下你对自己的职业规划吗？怎么看待架构师？
7、我们在实际开发中用到算法的地方并不是很多，那你觉得学习算法有必要吗？为什么？
（基本就这些问题，聊天聊了有40分钟，最后二十分钟面试官给我详细介绍了一下部门的业务和面临的挑战）
第三面是本部门的HR面
1、自我介绍
2、说一下你最近做的一个项目以及你的职责？
3、项目当中有碰到过的最大的挑战是什么？
4、当小组中出现意见分歧的话，你会怎么解决？
5、你觉得你的优势有哪些？自身还有哪些需要改进的地方？
6、你的择业标准是什么，会从哪些方面进行考量？
7、目前与阿里并行的有哪些企业？有没有给了offer的？会不会把阿里当做第一选择？
剩下的就是聊聊人生，说一下自己以后的职业规划什么的。
阿里Java后端四面(30分钟）
是其他部门的面试官来交叉面，这一轮主要侧重问的是项目
1、自我介绍
2、你在项目当中主要负责哪几部分？分布式是怎么提现的？
3、你觉得你负责的部分最大的技术挑战在哪里？你是怎么解决的？有没有备选方案？
4、你用到了单机redis来实现分布式锁，那如果并发请求太多，导致redis阻塞时间太长没有反应怎么办？
5、有没有看过小组里其他同学的代码，你们如何 定义接口以及做到代码规范的？
6、你对自己未来三年的职业规划是什么样的？
Java开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】Java岗-后端暑期实习3面+HR面,"Timeline：
4.21自主投递
4.23笔试
5.10一面
5.12二面
5.13三面
5.18hr面
5.24意向书
自我介绍
学过哪些计算机课程？哪一门你觉得学得最好？
你linux学了哪些东西？课程的框架？会用的命令？
我现在在A机器上，想要远程连接B机器，命令是什么？
文件描述符有没有听过？软链接和硬链接？
怎么去看一个文本文件的内容？
讲一下之前做过的项目，以及一些细节的具体实现
看你得了不少奖项，选一个讲讲吧？讲的美模
平时怎么debug的？
都学了java相关的哪些东西？考几个简单问题
常用的数据结构有哪些？介绍一下
了解MySQL吗？
一道sql题
除了课堂外获取知识，还有其他的学习途径吗？
之前做项目的时候，有没有和他人出现分歧的情况？你怎么处理的？
如果来实习最希望收获什么？
反问
感觉和其他一面主要考察基础知识不太一样，主要着重在简历和项目上，还问了一些综合性问题
一面面试官很好，花了不少时间给我介绍部门情况，介绍工作情况，告诉我要学习些什么
自我介绍
为什么转专业？
之前实习的工作内容？
之前实习的过程中有没有遇到什么困难？
怎么想到要去做项目一？
介绍一下项目二？
java的重写和重载有什么区别？
同一个方法，参数相同返回值不同，可以重载吗？
介绍一下JVM内存模型
有哪些垃圾回收机制？
Java有哪些锁？
你学得最多的一门课是什么？
操作系统分为几个部分？
用过哪些linux命令？
怎么在文件夹中找到最大的文件？
分布式这一块有了解吗？
分布式中的cp原理？知道业界有哪些分布式框架吗？
讲一下你知道的设计模式？
看过哪些源码？
平常看哪些书？
后面几年的职业规划？
先来个自我介绍？
学了哪些计算机课程？
数据结构方面的课程成绩怎么样？
介绍一下红黑树以及它的应用场景
线上有日志是记录ip及其访问的，想要找出当天访问量最大的ip，怎么做?
做过 JSP， Serverlet相关的吗？
打开浏览器，输入taobao.com，之后访问网页，一直到浏览器把页面渲染出来，在这个过程中发生了什么？
你刚刚讲了OSI的七层模型，那它到达服务器的时候怎么达到这个应用？这么多的进程，怎么知道是哪一个？
Java的serverlet容器你了解吗?
你有做过一些实际的练习吗？或者项目？
学习主要通过哪些方法？除了看书?
有自己做一些笔记总结之类的吗？
什么时候决定走开发这个方向的?
在这个过程中你是怎么着手去学习和准备的？
你知道分布式的哪些地方？
谈一下对自己的认识以及你的优缺点？
反问
自我介绍，请重点讲讲在工程开发中的积累
为什么选择这个岗位？
请讲一讲在java这块的积累或者说项目经历？展开讲讲
问java基础知识
锁
数据库方面做过哪些内容？
在多线程的场景下如何实现数据库增删改查？
锁的具体源码？底层实现？
智力题：九个球，红黄蓝各三个，随机放在九个盒子里，排成一排。有两种操作，打开盒子查看颜色，交换两个盒子的位置。问最快的方法使得排成“红黄蓝红黄蓝”的顺序？
接下来的职业规划？
实习时间，其他面试情况等
HR面问技术问题我是没想到的，着实有点措手不及，之前看HR面的面经都没有这样的问题，所以还是不要一味依赖面经，面试问的问题还是与个人的情况有关系的。
春招结束啦，一路下来感谢牛客上的各种分享，祝大家offer多多！
Java开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】Java岗-五面阿里，终拿P7 offer,"有了这个共识后，我和面试官开始了第一轮电话面试。第一轮面试的时间是某天上午九点，电话面试，面试官简单的了解了一下我之前做的业务，接下来就问了我一些 Java 的基础知识，我面试后做了一下总结和记录，贴出来给大家看下：
哪些场景下，子类需要重写 equals 方法和 hashCode 方法？
描述下 HashMap get 方法的主要执行逻辑和流程；
Java 异常，什么是 checked Exception 和 unchecked Exception，举几个具体的例子；是否研究过 Spring Boot 中的异常；
ConcurrentHashMap 的特性和实现原理；
什么是分库分表，以及分库分表的具体方法和使用场景；
数据库事务的 ACID；
对于数据库基础知识，读者可以找任意一本相关入门级的数据库图书学习即可。
高级开发除了以上要求还要熟悉 高可用 MySQL 、 主从同步 、 读写分离 、 分表分库 等技术，这些技术的细节一定要清楚，它们是你成为技术专家或者高级架构的必备知识。我们在实际面试时，在讨论高可用服务服务方案时，很多面试者也会和我们讨论到这些技术，但是不少面试者只知道这些技术的大致思想，细节往往说不清楚，细节不会就意味着你的高可用方案无法落地，企业需要可以落地的方案。
这些技术我首推 《高性能 MySQL》这本书，这本书高级开发者一定要通读的 ，另外还有 2 本非常好的图书也推荐一下：一本是《 MySQL 排错指南 》，读完这本书以后，你会对整个“数据库世界”充满了清晰的认识；另外一本是《 数据库索引设计与优化 》，这本书读起来非常舒服，尤其是对于喜欢算法和数据结构的同学来说。
什么是分布式锁以及其实现原理和使用场景；
幂等性问题。
这里需要说一下，上面的面试题其实都很基础，尤其是涉及到 Java 本身的如果你是从事 Java 开发的，但是只局限于应付公司的业务代码，从来没有主动去研读一下 jdk 的一些常用类库，无论从应付面试来说，还是就你的 Java 技术栈的提高乃至技术职业生涯都是不好的，希望从事 Java 开发的读者要意识到这一点。
网络上有很多类似于 Java 面试高频知识点总结的帖子和课程，我个人觉得这些课程你可以用它作为大纲，但是千万不能只达到这些大纲要求的深度，作为 Java 开发者，jdk 的源码，尤其是常用的 Java 类的源码还是建议认真阅读一下。
第一轮技术面试结束后，我就问面试官是否通过了。面试官告诉我通过了，然后我问他下一轮的的面试会安排在什么时候。我当时告诉他希望他们尽快安排，已经有其他的公司在催我入职了（期间我已经拿到了字节的 offer）。面试官说去沟通一下。
于是当天下午大概一两点左右，一面面试官问我晚上是否有时间，给我安排第二轮技术面试，于是约了当天晚上七点。
第二轮技术面试是主管面试。原来约了晚上七点，我到了之后一面的面试官接待了我，并告知我他们主管临时有点急事，能不能把时间改到九点，或者再约。我当时想既然都来了那就等等吧，就不单独再约时间了。于是在这之前和一面的面试官又聊了一下，一面的面试官人很 nice，我们聊了很多东西。他和我说了一下后面面试的一些注意事项，告诉我二面面试官的一些情况，建议我在和他谈之前的项目时说清楚业务特点和技术重难点，并给出合理的解决方案，否则很可能被 pass 掉。最后又和我讲了一下阿里的薪酬结构和期权的一些事情，以及 HR 面试和其他公司的 HR 面试不太一样，要我认证严肃对待阿里的 HR 面试。
大约到了晚上九点，二面面试官终于来了。先和我介绍了一下他们所做的东西，最后给我出了一个场景题，让我根据他提出的场景设计一套系统，要交代清楚一共有几个子系统，如何保证高性能和高可用。在和面试官讨论中我给出了自己的设计方案，当然开始的答案并不完美，后来面试官不断给我提出新的问题，以考察我的设计能力。正常的面试结束后，面试官就我之前的项目聊了一下自己的看法。
聊了大概一个多小时后，结束了面试，我离开时，发现外面的沙发上还有一个人等待面试，汗，竞争压力真大。
第二天早上，我通过一面面试官帮我打听二面面试结果，大概中午的时候，二面面试官加我微信说面试通过了，但是三面面试官，也就是他们大部门的 leader 在深圳出差，问我是否方便视频面试，我说可以，于是就约定了第二天晚上七点的视频面试。
前一天三面的面试官给我打了个电话，然后加了我微信。第二天晚上七点，面试官准时微信视频我，打开后发现是一个胡子没刮的中年大叔，”大叔”在阳台上坐在笔记本电脑前面，然后面试就正式开始了。先让我做个自我介绍，然后就和我聊起之前的项目，在我介绍项目的过程中，时而问一些 Java 细节的东西，如多线程同步用了哪些对象，如何编码的，时而问一下框架或者架构方面的，例如如何做热备、是否使用了分布式服务，分布式服务中多个服务之间数据如何保持一致，系统的支持的最大 QPS，缓存问题、数据库的压力问题等等。
三面的技术面试并不容易，一般来说，不同公司因为业务形态，采用的技术方案不尽相同，但是不少面试官并不认同面试者公司所采用的技术方案，所以需要面试者详细的、认真的给出合理的解释，如果你对你负责的系统背后的技术方案从没进行认真的思考和反思，很容易被面试官几次连续追问弄的措手不及，或者落入面试官设置的技术圈套中。
这类面试我给读者的建议是，无论你是公司某个项目的负责人，还是你只是参与某个项目只负责其中一部分，不仅要想办法了解整个系统的结构设计，多反思你现在的结构设计，还要对关键的细节核心也要非常熟悉，把你所在的项目的一些关键细节搞清楚，千万不要只局限于自己的”一亩三分地”。
第二天早上，一面的面试官告诉我第三轮技术面试已经通过了，接下来就是 HR 面试了，但是阿里的 HR 面试与一般的人事面试不太一样，HR 在阿里有点像军团的”政委”，同时告诉我，阿里的薪资待遇现金部分不会给太多，更多的是期权，而且这些期权公司内部是明码标价的，在离职时公司会以制定的价格去回购。
当天，一个自称阿里的 HR 主管的女性给我打电话，与我约了下一轮的人事面试，具体日期记不得了，是后面几天的某个上午 10 点。
那天的 10 点，对方如约打来电话。在我以往的经历中，我觉得既然前面技术面试过了，到了 HR 面试时应该是简单的了解一下面试者的情况，然后就开始谈薪资了。然而事实并不是这样，这个 HR 先让我做了一下自我介绍，然后让我描述一下每段工作经历分别做了什么、每段工作经历时长和离职原因，还问了我诸如我工作中最受挫的事情以及最大的挑战的事情是什么，以及我的一些思想观念和价值观念。唉，感觉真的就像”政审”。聊了快一个多小时，我的心一直是绷着的，额头都出汗了。那天我的媳妇也在旁边旁听，我面试了一个多小时，她跟着紧张了一个多小时。
面试最后，同样的惯例，这个 HR 问我有什么想问的，我当时脑子一发热，问了一句套话：您觉得在 IT 公司，HR 应该扮演什么样的角色？唉，就是这个问题差点，让我”万劫不复”了。这个 HR 显然很老道，并没有直接回答我的问题，而是反问我怎么看待 HR 工作职责的，我当时说，人力资源部门应该为职能部门做好后勤工作。面试官听我这么说，立刻表示反对，开始给我说阿里的 HR 如何如何，作用如何如何，接着我就脑袋嗡嗡的又听了她说了一会儿。最终我们结束了这次的面试。
面试过程中，其实我一直以为会和我谈薪资待遇，然后从开始到结束并没有谈到，因为不确定我是否过了这个面试， 也没有去问。
第二天早上，我再次接到这个 HR 的电话，告知我所有的面试都通过了，接下来和我谈下薪资待遇。经过他们的综合考察和评定，给我的职级是 P7（技术专家），给我价值 80 W的期权，分三年拿完，第一年给 25%，第二年再给 25%，第三年给 50%，但是现金部分最多只能给到 32k（月薪），保底薪资是 14 薪。于是我问她，我少要点期权，月薪能否加一点，她说做不到；然后我又问她每股期权如果离职公司的回收价格是明确的吗？她也说不明确。于是，我又和她说，我说你这个薪资水平和我上上家的待遇差不多。她也不接我我的话茬，说这是公司的规定，况且你来阿里也不是为了钱。我竟然无言以对。后来，我就说我拿了某独角兽公司的 offer，人家年薪都给到了七十多万，你这比人家低的太多了，她又说，这家公司给的薪水本来就比市场平均水平要高很多。
谈到这里，我其实已经没多少耐心继续谈下去了。我朝思暮想，诚惶诚恐想进的阿里，给出的待遇竟然如此。唉。大家出来工作，不是为了钱，为了啥？而且整个面试的过程也是比较磨人的，最终给出的薪资水平毫无诚意。此时，我实在不想继续谈下去了，于是我对她说，要不这样吧，我考虑一天，明天这个时候给你打电话告诉你结果，她说可以，并说第二天会打给我。
最终结果
综合考虑下来，最终我还是决定放弃阿里的 offer。第二天当那个 HR 打来电话时，我直接开门见山的说，我选择放弃这个 offer，她听了之后说了一句尊重我的选择，然后简单的寒暄了几句就挂了电话。
总结
我这个人，非科班出身，我深知有一份大厂工作经验的重要性。所以自毕业以来，一直想着有一天能去 BAT 其中之一工作，然而造化弄人，总因为这样那样的原因，一直未能得偿所愿。在 2019 年整整一年，创业付出大量时间和心血之后，决心还是告别小公司，再去大厂历练一下。于是经过认真的准备，先后面试了腾讯、饿了么、阿里蚂蚁金服、字节跳动等大厂，其中尤为亲睐阿里的工作机会，当然由于早些年面试大厂受挫，心里存在一点的恐惧心理，但这次之后再也不存在任何恐惧之心了，说白了，也不过如此而已。
当然，我这里并不是说阿里不好，阿里是一家伟大的公司，给我们的生活带来了很多的益处。但是有些事情，如同两个人的结合一样，勉强不来的。一家企业在发展的过程中总会存在很多问题，如果你能忍受这些问题，你可以选择她，如果你容忍不了，你可以不选择她。感谢帮助我那么多的阿里一面面试官。
我把这段经历写出来分享给大家，并不是想说明我有多强，是希望给想面试阿里的同学一点启发和帮助。入职大厂不仅需要技术实力，还需要一点点运气和策略。
Java开发岗
阿里巴巴面试

ㅤ普通",
【阿里巴巴】Java岗-阿里云研发,"1.自我介绍
2.实习的项目，抛了一系列的提高性能的问题，针对项目提问（实习项目略隐私，不列出来了）
3.发的论文，论文用到的算法
4.你认为算法与业务之间有什么样的关系
5.浏览器输入URL发生了什么，讲出所有知道的内容
算法题
6.非递归遍历二叉树
7.查找数组的中间元素
8.问问题
1.自我介绍
2.Java的并发方式
3.synchronized和lock的区别
4.Java内存模型及GC算法
5.你理解的线程安全
6.Java源码中的HashMap、HashTable、ArrayList及LinkedList
7.解决Hash冲突的方法及Java8对链地址法有何优化
8.加载器双亲委派模型及破坏
9.死锁的原因及预防
10.操作系统的内存管理机制
11.进程和线程的区别
12.TCP和UDP区别
13.TCP如何保证可靠性，拥塞控制如何实现
14.用过哪些数据库，支持事务的数据库的四个特性，数据库的四个隔离级别
15.讲下跳表怎么实现的
16.哈夫曼编码是怎么回事
1.自我介绍
2.实习的项目
3.依然是：输入URL浏览器发生了什么
4.DNS解析的域名，你直接去ping，能成功吗，它是一个web server吗
5.说说长连接是怎么回事，使用长连接有什么影响
6.个人的职业规划
7.除了项目之外，有了解过其他的开源技术吗
8.NginX如何做负载均衡
9.常见的负载均衡算法有哪些
10.一致性哈希的一致性是什么意思
11.一致性哈希是如何做哈希的
12.自己最常用的数据结构是什么
13.讲讲算法及数据结构在实习项目中的用处
14.常见的排序算法及其复杂度
15.讲讲O(nlogn）复杂度的算法在实际工程中的用处
16.问问题
1.自我介绍
2.实习学到了什么
3.自己的职业规划
4.评价一下腾讯的技术氛围
5.实习中有没有什么不足，现在弥补了吗
6.对阿里技术氛围有什么样的理解，用过哪些阿里的开源库
7.给你一千万创业，你怎么分配资金，自己承担什么样的角色（CEO?CTO?COO?）
8.蚂蚁金服最后待offer给你转推荐，你清楚原因吗（岗位不符合预期）
9.加上之前的面试和蚂蚁的面试，你面试与自己预期相比表现怎么样
10.期待的工作地点
11.问问题
Java开发岗
阿里巴巴面试

ㅤ普通",
