问题,回答,所属分类
计算机网络面试真题简介,"大家好，我是帅地。
计算机网络基本属于面试题必考，无论你是前端开发还是后端，是校招还是社招，考的非常多，帅地把大部分会考到的都总结在这里了，跟着专题把它刷了就差不多了，但是切记，面试题只是帮助你快速复习和查漏补缺，自己有时间最好是跟着书系统学一下，实在不行也可以把我写的十几个协议看一下：计算机网络入门简介
计算机网络入门简介
如果有时间的话，可以把《计算机网络自顶向下》这本书刷个两三遍就差不多了，这本书的具体阅读指南：计算机网络《自顶向下》阅读指南
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
计算机网络《自顶向下》阅读指南
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. OSI 的七层模型分别是？各自的功能是什么？
1. OSI 的七层模型分别是？各自的功能是什么？
2. 为什么需要三次握手？两次不行？
2. 为什么需要三次握手？两次不行？
3. 为什么需要四次挥手？三次不行？
3. 为什么需要四次挥手？三次不行？
4. TCP与UDP有哪些区别？各自应用场景？
4. TCP与UDP有哪些区别？各自应用场景？
5. HTTP1.0，1.1，2.0 的版本区别
5. HTTP1.0，1.1，2.0 的版本区别
6. POST和GET有哪些区别？各自应用场景？
6. POST和GET有哪些区别？各自应用场景？
7. HTTP 哪些常用的状态码及使用场景？
7. HTTP 哪些常用的状态码及使用场景？
8. HTTP状态码301和302的区别，都有哪些用途？
8. HTTP状态码301和302的区别，都有哪些用途？
9. 在交互过程中如果数据传送完了，还不想断开连接怎么办，怎么维持？
9. 在交互过程中如果数据传送完了，还不想断开连接怎么办，怎么维持？
10. HTTP 如何实现长连接？在什么时候会超时？
10. HTTP 如何实现长连接？在什么时候会超时？
11. TCP 如何保证有效传输及拥塞控制原理
11. TCP 如何保证有效传输及拥塞控制原理
12. IP地址有哪些分类？
12. IP地址有哪些分类？
13. GET请求中URL编码的意义
13. GET请求中URL编码的意义
14. 什么是SQL 注入？举个例子？
14. 什么是SQL 注入？举个例子？
15. 谈一谈 XSS 攻击，举个例子？
15. 谈一谈 XSS 攻击，举个例子？
16. 讲一下网络五层模型，每一层的职责？
16. 讲一下网络五层模型，每一层的职责？
17. 简单说下 HTTPS 和 HTTP 的区别
17. 简单说下 HTTPS 和 HTTP 的区别
18. 对称加密与非对称加密的区别
18. 对称加密与非对称加密的区别
19. 简单说下每一层对应的网络协议有哪些？
19. 简单说下每一层对应的网络协议有哪些？
20. ARP 协议的工作原理？
20. ARP 协议的工作原理？
21. TCP 的主要特点是什么？
21. TCP 的主要特点是什么？
22. UDP 的主要特点是什么？
22. UDP 的主要特点是什么？
23. TCP 和 UDP 分别对应的常见应用层协议有哪些？
23. TCP 和 UDP 分别对应的常见应用层协议有哪些？
24. 为什么 TIME-WAIT 状态必须等待 2MSL 的时间呢？
24. 为什么 TIME-WAIT 状态必须等待 2MSL 的时间呢？
25. 保活计时器的作用？
25. 保活计时器的作用？
26. TCP 协议是如何保证可靠传输的？
26. TCP 协议是如何保证可靠传输的？
27. 谈谈你对停止等待协议的理解？
27. 谈谈你对停止等待协议的理解？
28. 谈谈你对 ARQ 协议的理解？
28. 谈谈你对 ARQ 协议的理解？
29. 谈谈你对滑动窗口的了解？
29. 谈谈你对滑动窗口的了解？
30. 谈下你对流量控制的理解？
30. 谈下你对流量控制的理解？
31. 谈下你对 TCP 拥塞控制的理解？使用了哪些算法？
31. 谈下你对 TCP 拥塞控制的理解？使用了哪些算法？
32. 什么是粘包？
32. 什么是粘包？
33. TCP 黏包是怎么产生的？
33. TCP 黏包是怎么产生的？
34. 怎么解决拆包和粘包？
34. 怎么解决拆包和粘包？
35. forward 和 redirect 的区别？
35. forward 和 redirect 的区别？
36. HTTP 方法有哪些？
36. HTTP 方法有哪些？
37. 在浏览器中输入 URL 地址到显示主页的过程？
37. 在浏览器中输入 URL 地址到显示主页的过程？
38. DNS 的解析过程？
38. DNS 的解析过程？
39. 谈谈你对域名缓存的了解？
39. 谈谈你对域名缓存的了解？
40. 谈下你对 HTTP 长连接和短连接的理解？分别应用于哪些场景？
40. 谈下你对 HTTP 长连接和短连接的理解？分别应用于哪些场景？
41. HTTPS 的工作过程？
41. HTTPS 的工作过程？
42. HTTP 和 HTTPS 的区别？
42. HTTP 和 HTTPS 的区别？
43. HTTPS 的优缺点？
43. HTTPS 的优缺点？
44. 什么是数字签名？
44. 什么是数字签名？
45. 什么是数字证书？
45. 什么是数字证书？
46. Cookie 和 Session 有什么区别？
46. Cookie 和 Session 有什么区别？
47. UDP 如何实现可靠传输？
47. UDP 如何实现可靠传输？
48. Keep-Alive 和非 Keep-Alive 有什么区别？
48. Keep-Alive 和非 Keep-Alive 有什么区别？
49. HTTP 长连接短连接使用场景是什么
49. HTTP 长连接短连接使用场景是什么
50. DNS 为什么用 UDP
50. DNS 为什么用 UDP
51. 简单说下怎么实现 DNS 劫持
51. 简单说下怎么实现 DNS 劫持
52. URI和 URL之间的区别
52. URI和 URL之间的区别
53. TIME_WAIT 状态会导致什么问题，怎么解决
53. TIME_WAIT 状态会导致什么问题，怎么解决
54. 有很多 TIME-WAIT 状态如何解决
54. 有很多 TIME-WAIT 状态如何解决
55. 简单说下 SYN FLOOD 是什么
55. 简单说下 SYN FLOOD 是什么
56. ICMP 有哪些应用？
56. ICMP 有哪些应用？
57. TCP 最大连接数限制
57. TCP 最大连接数限制
58. IP地址和MAC地址有什么区别？各自的用处？
58. IP地址和MAC地址有什么区别？各自的用处？
59. IPV4 地址不够如何解决
 
59. IPV4 地址不够如何解决
 操作系统面试题阅读指南（必看）
 操作系统面试题阅读指南（必看）
 Java面试题面试题阅读指南（必看）
 Java面试题面试题阅读指南（必看）
MySQL面试题阅读指南（必看）
MySQL面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
持续更新～持续更新～持续更新～
记得收藏呀
后端大厂面试真题",
腾讯面经汇总(按岗位分类),"大家好，我是帅地。
接下来一段时间，我会在这个专题收集腾讯相关面经，包括后端开发，前端开发，测试岗，算法岗，等等。
你可以通过这个专题，看看腾讯的面试官，都在问什么，并且帅地会尽力收集不同事业群的面经，顺便看看差别
1、腾讯Java后端开发面经汇总
腾讯Java后端开发面经汇总
2、腾讯前端开发面经汇总
腾讯前端开发面经汇总
3、腾讯C++/Linux后端开发面经汇总
腾讯C++/Linux后端开发面经汇总
4、腾讯Go后端开发面经汇总
腾讯Go后端开发面经汇总
5、腾讯客户端开发面经汇总
腾讯客户端开发面经汇总
C++面试题阅读指南（必看）
C++面试题阅读指南（必看）
 Java面试题面试题阅读指南（必看）
 Java面试题面试题阅读指南（必看）
 操作系统面试题阅读指南（必看）
 操作系统面试题阅读指南（必看）
阅读指南（必看）
阅读指南（必看）
MySQL面试题阅读指南（必看）
MySQL面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
大厂面经
腾讯面经",
本站所有面试题汇总篇,"大家好，我是帅地，为了大家在手机上也方便跳转，帅地在这里弄了一篇面试题的总目录（不过还是推荐大家PC端阅读哦）
C++面试题阅读指南（必看）
C++面试题阅读指南（必看）
 Java面试题面试题阅读指南（必看）
 Java面试题面试题阅读指南（必看）
Python面试题阅读指南（必看）
Python面试题阅读指南（必看）
 操作系统面试题阅读指南（必看）
 操作系统面试题阅读指南（必看）
阅读指南（必看）
阅读指南（必看）
MySQL面试题阅读指南（必看）
MySQL面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
1、腾讯Java后端开发面经汇总
腾讯Java后端开发面经汇总
2、腾讯前端开发面经汇总
腾讯前端开发面经汇总
3、腾讯C++/Linux后端开发面经汇总
腾讯C++/Linux后端开发面经汇总
4、腾讯Go后端开发面经汇总
腾讯Go后端开发面经汇总
5、腾讯客户端开发面经汇总
腾讯客户端开发面经汇总
1. 阿里巴巴Java岗开发面经汇总
1. 阿里巴巴Java岗开发面经汇总
2. 阿里巴巴C++岗开发面经汇总
2. 阿里巴巴C++岗开发面经汇总
3. 阿里巴巴前端岗开发面经汇总
3. 阿里巴巴前端岗开发面经汇总
4. 阿里巴巴Go岗开发面经汇总
4. 阿里巴巴Go岗开发面经汇总
5. 阿里巴巴客户端岗开发面经汇总
5. 阿里巴巴客户端岗开发面经汇总
字节跳动C++开发面经汇总
字节跳动C++开发面经汇总
字节跳动Java开发面经汇总
字节跳动Java开发面经汇总
字节跳动前端开发面经汇总
字节跳动前端开发面经汇总
字节跳动Go开发面经汇总
字节跳动Go开发面经汇总
字节跳动客户端开发面经汇总
字节跳动客户端开发面经汇总
美团C++岗开发面经汇总
美团C++岗开发面经汇总
美团Java岗开发面经汇总
美团Java岗开发面经汇总
美团客户端岗开发面经汇总
美团客户端岗开发面经汇总
美团前端岗开发面经汇总
美团前端岗开发面经汇总
滴滴C++岗开发面经汇总
滴滴C++岗开发面经汇总
滴滴Java岗开发面经汇总
滴滴Java岗开发面经汇总
滴滴 Golang岗开发面经汇总
滴滴 Golang岗开发面经汇总
滴滴客户端岗开发面经汇总
滴滴客户端岗开发面经汇总
滴滴前端岗开发面经汇总
滴滴前端岗开发面经汇总
Shopee Golang岗开发面经汇总
Shopee Golang岗开发面经汇总
Shopee 客户端岗开发面经汇总
Shopee 客户端岗开发面经汇总
Shopee 前端岗开发面经汇总
Shopee 前端岗开发面经汇总
Shopee C++岗开发面经汇总
Shopee C++岗开发面经汇总
Shopee Java岗开发面经汇总
Shopee Java岗开发面经汇总
帅地也求大家可以多多分享哦，也记得收藏哦，后续会有越来阅读的内容
大厂面经
腾讯面经
面试题汇总",
阿里巴巴面经汇总(按岗位分类),"大家好，我是帅地。
接下来一段时间，我会在这个专题收集腾讯相关面经，包括后端开发，前端开发，测试岗，算法岗，等等。
你可以通过这个专题，看看腾讯的面试官，都在问什么，并且帅地会尽力收集不同事业群的面经，顺便看看差别
1. 阿里巴巴Java岗开发面经汇总
1. 阿里巴巴Java岗开发面经汇总
2. 阿里巴巴C++岗开发面经汇总
2. 阿里巴巴C++岗开发面经汇总
3. 阿里巴巴前端岗开发面经汇总
3. 阿里巴巴前端岗开发面经汇总
4. 阿里巴巴Go岗开发面经汇总
4. 阿里巴巴Go岗开发面经汇总
5. 阿里巴巴客户端岗开发面经汇总
5. 阿里巴巴客户端岗开发面经汇总
C++面试题阅读指南（必看）
C++面试题阅读指南（必看）
 Java面试题面试题阅读指南（必看）
 Java面试题面试题阅读指南（必看）
 操作系统面试题阅读指南（必看）
 操作系统面试题阅读指南（必看）
阅读指南（必看）
阅读指南（必看）
MySQL面试题阅读指南（必看）
MySQL面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
大厂面经
阿里巴巴面试",
美团面经汇总(按岗位划分),"大家好，我是帅地。
接下来一段时间，我会在这个专题收集美团相关面经，包括后端开发，前端开发，测试岗，算法岗，等等。
你可以通过这个专题，看看美团的面试官，都在问什么，并且帅地会尽力收集不同事业群的面经，顺便看看差别
美团C++岗开发面经汇总
美团C++岗开发面经汇总
美团Java岗开发面经汇总
美团Java岗开发面经汇总
美团客户端岗开发面经汇总
美团客户端岗开发面经汇总
美团前端岗开发面经汇总
美团前端岗开发面经汇总
C++面试题阅读指南（必看）
C++面试题阅读指南（必看）
 Java面试题面试题阅读指南（必看）
 Java面试题面试题阅读指南（必看）
 操作系统面试题阅读指南（必看）
 操作系统面试题阅读指南（必看）
阅读指南（必看）
阅读指南（必看）
MySQL面试题阅读指南（必看）
MySQL面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
大厂面经
美团面试",
滴滴面经汇总(按岗位划分),"大家好，我是帅地。
接下来一段时间，我会在这个专题收集美团相关面经，包括后端开发，前端开发，测试岗，算法岗，等等。
你可以通过这个专题，看看美团的面试官，都在问什么，并且帅地会尽力收集不同事业群的面经，顺便看看差别
滴滴C++岗开发面经汇总
滴滴C++岗开发面经汇总
滴滴Java岗开发面经汇总
滴滴Java岗开发面经汇总
滴滴 Golang岗开发面经汇总
滴滴 Golang岗开发面经汇总
滴滴客户端岗开发面经汇总
滴滴客户端岗开发面经汇总
滴滴前端岗开发面经汇总
滴滴前端岗开发面经汇总
C++面试题阅读指南（必看）
C++面试题阅读指南（必看）
 Java面试题面试题阅读指南（必看）
 Java面试题面试题阅读指南（必看）
 操作系统面试题阅读指南（必看）
 操作系统面试题阅读指南（必看）
阅读指南（必看）
阅读指南（必看）
MySQL面试题阅读指南（必看）
MySQL面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
大厂面经
滴滴面试",
字节跳动面经汇总(按岗位分类),"大家好，我是帅地。
接下来一段时间，我会在这个专题收集腾讯相关面经，包括后端开发，前端开发，测试岗，算法岗，等等。
你可以通过这个专题，看看腾讯的面试官，都在问什么，并且帅地会尽力收集不同事业群的面经，顺便看看差别
字节跳动C++开发面经汇总
字节跳动C++开发面经汇总
字节跳动Java开发面经汇总
字节跳动Java开发面经汇总
字节跳动前端开发面经汇总
字节跳动前端开发面经汇总
字节跳动Go开发面经汇总
字节跳动Go开发面经汇总
字节跳动客户端开发面经汇总
字节跳动客户端开发面经汇总
C++面试题阅读指南（必看）
C++面试题阅读指南（必看）
 Java面试题面试题阅读指南（必看）
 Java面试题面试题阅读指南（必看）
 操作系统面试题阅读指南（必看）
 操作系统面试题阅读指南（必看）
阅读指南（必看）
阅读指南（必看）
MySQL面试题阅读指南（必看）
MySQL面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
字节跳动
字节跳动面经
字节跳动面试",
字节跳动客户端开发面经汇总,"本系列将提供字节跳动客户端岗位历年面经，所有面经都有候选人面试之后根据回忆整理而出，大家可以通过面经来复习以及看看字节跳动面试难度。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读.
下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 【字节跳动】客户端岗-Android方向校招
1. 【字节跳动】客户端岗-Android方向校招
2. 【字节跳动】客户端岗-提前批五面(已拿意向书)
2. 【字节跳动】客户端岗-提前批五面(已拿意向书)
3. 【字节跳动】客户端岗-抖音客户端实习(已OC)
3. 【字节跳动】客户端岗-抖音客户端实习(已OC)
4. 【字节跳动】客户端岗-朝夕光年游戏开发
4. 【字节跳动】客户端岗-朝夕光年游戏开发
5. 【字节跳动】客户端岗-教育prek客户端日常实习
5. 【字节跳动】客户端岗-教育prek客户端日常实习
6. 【字节跳动】客户端岗-教育客户端社招面经
6. 【字节跳动】客户端岗-教育客户端社招面经
7. 【字节跳动】客户端岗-飞书二面面筋
7. 【字节跳动】客户端岗-飞书二面面筋
8. 【字节跳动】客户端岗-抖音暑期实习三轮面试
8. 【字节跳动】客户端岗-抖音暑期实习三轮面试
9. 【字节跳动】客户端岗-幸福里部门1,2,3面+hr面
9. 【字节跳动】客户端岗-幸福里部门1,2,3面+hr面
10. 【字节跳动】客户端岗-科班同学的两轮面经
10. 【字节跳动】客户端岗-科班同学的两轮面经
字节跳动面试
客户端开发岗

ㅤ普通",
【字节跳动】客户端岗-Android方向校招,"直接上面经吧。
字节跳动面试
客户端开发岗

ㅤ普通",
【字节跳动】客户端岗-提前批五面(已拿意向书),"一面约的14号。编译原理那一块问题太尴尬了，都给忘光了，面向对象的特点也不太清楚，当时问Python要是不用类，能实现面向对象吗？我给懵了…然后算法题的话，第一眼看上就像LFU缓存机制的算法题，没有刷过，不过庆幸刷过LRU缓存机制的题（感谢牛客上那篇整理7月字节跳动各岗位算法题的帖子），于是用了哈希表+双向链表，在面试官的提示下做出来了，不然估计一面就得凉。当天晚上接到HR的电话，很高兴一面通过，约了16号的二面。


  二面刚面完。Python装饰器的作用没有答出来，然后线程安全问题没答出来，应该是会导致卡死的，线程跟进程一样也会因为死锁的！二面感觉两道算法题都比一面的简单很多，不过自己还是在第二题上的反转数字上卡壳了，害…..面试官评价我基础知识不太扎实，感觉是凉了。许愿今晚能继续接到HR的电话吧！哈哈运气好过了就继续更三面！

以下是更新：

  二面果然被刷了～不过还好HR说我面试评价总体不错，被另一个部门捞起来了，所以接着冲吧！！


  总体感觉还行，就是面试刚开始的时候出了几次小状况突然没画面了，不过面试官很耐心，切换线路之后正常了。一来就开始讲项目，没有想到1面就会问项目，所以没有提前准备，导致介绍项目的时候逻辑混乱想到什么说什么，也没有突出重点，下次得好好准备一下了。然后是讲完“类方法 静态方法 实例方法”后，面试官说可能Python和其他语言不太一样吧～瞬间感觉是自己答错了hh，后来的问题都蛮常规，也恰好准备到了，算法题也问题不大，不过面试官小哥看得比较仔细，还会问我哪一行的代码有什么作用，感觉和之前不太一样呢。最后反问环节，面试官建议我可以脱离Python，多了解一下面向对象编程的通用概念，我感觉确实是疏忽了，这种编程思想的东西就是不应该就具体语言来讲的，很有收获。
  下午面完没多久就接到HR电话了！约了27号的第二次2面，因为这几天都约满了，看来16号截止投递期限投的同学不少呀。这次2面一定得加油了！（至少让我挺到3面吧求求了！


  这次感觉前面的情景设计题实在是太灵活了，自己的思路也确实不太好。求个3面啊！！许愿许愿！
  当天晚上HR微信告诉我2面过了，我的妈耶太高兴了！后来和3面面试官约了31号晚上9点的面试（面试官真是又忙又辛苦），加油吧！最后一面了！


  建议这题大家动手写一下。我一开始思路有点问题，分了4种情况，导致代码很冗余，自己都看不下去了。后来幸好换了方法，才勉强写下去。最后要注意两个字符串长度不一样的情况，善后要做好，以及最高位的进位也要记得处理。这题应该不算难，但是自己估计写了40分钟，感谢面试官耐心等待！
  写完算法题一度认为自己凉了，感谢HR小姐姐当天晚上微信上就告知我通过了！！目前就是等待意向书～

总结：这次字节跳动提前批，算是自己找工作的首面，抱着试一试的态度投递了客户端的岗位，毕竟客户端接受零基础。面试主要就是考察数据结构，计算机网络，操作系统和算法题，还有自己常用编程语言的一些特性，以及面向对象的思想。大部分面试题都能在牛客网的面经上找到，（非常感谢牛客]网！和各位分享面经的同学！）建议搜集整理好自己投递岗位的面经，然后认真准备就好了！自己一开始投递的部门（2面被刷），后来被另一个部门捞起来（感谢！），然后又经历了3面，这个过程其实还是有点折磨人心智的，不过最终能拿到offer，一切都值了！
所以，坚持不住的时候，记得再坚持一下！
字节跳动面试
客户端开发岗

ㅤ普通",
