问题,回答,所属分类
【腾讯】前端岗-实习-补录连战三场(已拿offer),"官网显示流程——初试
3.14（一面 —— 电话面 + 视频面）
一面大概 1 个小时左右，比较注重 JS 和 CSS 的基础能力。面试官人很温和，通过后立马打电话和我说，这种尘埃落定的感觉真好~
面试完官网状态从初试变成复试~
3.20（二面 —— 电话面）
自我介绍，说说项目遇到的坑
防抖和节流
实现无缝滑屏，你觉得怎么实现
你有什么要问的吗？
二面聊了很久，一个多小时，面试官非常厉害（应该是部门组长），整体处于被碾压的情况…然后面试官说可能会有三面，让我再准备下
感觉答得很一般，当时回去恶补了webpack以及性能优化的东西..
面试完官网状态依旧是复试..
3.28（三面 —— 视频面）
自我介绍，为什么会选择学前端呢？
三面大概半小时…面试官应该是部门技术总监，问的问题非常广，从大的架构层面往小的技术方面问，由广度到深度
整体气氛比较深沉…和巨佬聊技术有点格格不入T_T，巨佬说会考核下，然后让我等电话..
后来..后来..官网流程就灰了…电话呢？！ 提前批——挂。
但好在比较幸运是，在面腾讯之前拿到爱奇艺的实习机会~ 所以也不至于无路可走T_T
在等正式批的这段时间里，白天在公司上班，晚上恶补基础，在恶补的过程中，才发现自己之前面试答得简直一坨shi …很多需要深挖的知识点，渐渐感觉时间不太够用  (..•˘_˘•..)
26号突然收到面试邮件，约了28号晚上7点的面试..
赶紧到官网查看流程，灰了一个多月，终于亮起来了！！ 感动！！
官网面试流程——初试
4.28（一面 —— 电话面）
正式批一面了大概1个半小时… 全程没喝一口水… 自我感觉答得还行，面试官也说还不错hh
但是…但是…第二天看官网居然灰了？？？？
当时心里拔凉拔凉的，晚上没吃饭没洗澡躺尸，亏我准备这么久    T_T
但是过了两天，突然又接到电话，是正式批一面面试官打来的……….
他说他的部门（IEG）HC不够了..把我调剂到另外的部门（PCG）去了…    然后要重新启动流程，所以把我灰了..让我赶紧准备另一个部门的面试
所以又开始了艰难的——走流程..
不得不吐槽鹅厂流程太长了！！ 也有可能是自己太菜…排名比较靠后
5.07（一面 —— 电话面）
一面大概1个多小时，面试官比较严肃，也很厉害… 问的问题拓展性很强。
而且非常注重基础， 数据结构、计算机网络…很重要！
虽然感觉答得一般，但面试官评价还行…    运气真好
5.13（二面 —— 电话面）
二面聊了一个多小时，面试体验很棒！  面试官人超好，不断的引导我回答出答案…
最后还说帮我约三面的面试官，给人感觉很暖！
后来看官网状态从初试变成复试~
5.22（三面 —— 视频面）
​    三面聊了半个小时，面试官是部门技术总监，看上去很和蔼…一直在安静听我说
面试感觉就像在一起聊天，也没有提前批的那种沉重感…大概是被虐多了，习以为常~
面试完官网状态秒变成 HR 面试！！
5.27 （HR面 —— 电话面）
HR 是一个小哥哥，人很好，说话听着很舒服，面试了10分钟
最后还说会帮忙催 offer，真的很感谢他！
6.11 （oc —— 拿到offer）
oc真的等的很着急…好在终于拿到了 offer！！
​
我的经验：
前端开发岗
腾讯面试",
腾讯前端开发面经汇总,"本系列将提供腾讯前端岗位历年面经，所有面经都有候选人面试之后根据回忆整理而出，大家可以通过面经来复习以及看看腾讯面试难度。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 【腾讯】前端岗-实习-补录连战三场(已拿offer)
1. 【腾讯】前端岗-实习-补录连战三场(已拿offer)
2. 【腾讯】前端岗-一面凉经
2. 【腾讯】前端岗-一面凉经
3. 【腾讯】-前端岗-暑期实习
3. 【腾讯】-前端岗-暑期实习
4. 【腾讯】-前端岗-三面凉经
4. 【腾讯】-前端岗-三面凉经
5. 【腾讯】前端岗-Web前端实习（已得offer）
5. 【腾讯】前端岗-Web前端实习（已得offer）
6. 【腾讯】前端岗-三进二出备胎到老
6. 【腾讯】前端岗-三进二出备胎到老
7. 【腾讯】前端岗-实习（一二三）面经
7. 【腾讯】前端岗-实习（一二三）面经
8. 【腾讯】前端岗-PCG四面面经
8. 【腾讯】前端岗-PCG四面面经
9. 【腾讯】前端岗-21届秋招面经
9. 【腾讯】前端岗-21届秋招面经
10. 【腾讯】前端岗-UI开发面经
10. 【腾讯】前端岗-UI开发面经
前端开发岗
腾讯面经",
【腾讯】前端岗-一面凉经,"我不知道为什么，腾讯为什么现在还在招实习生，我这次面试体验很好，但是凉凉 嘿嘿
1 flex 布局 说一下
2 垂直居中
3 js原型链
4 深拷贝
5 es6 promise async awit
问了我babel  webpack  我去  自从有了脚手架 我就没碰过 好尴尬
6 前端路由  答得不好  没理解面试官的意思
7 跨域  详细说一下cors 答得不好
8 csrf攻击
9 快排
10 dfs  这是什么鬼  我又不是搞算法的
12 说一下你个人的亮点  结果   没有
总结：我涉及的广度是有的，深度没有，另外就是工程化  性能优化  安全方面需要加强
我 去   凉凉 我真的要凉了  咸鱼翻不了身了
我到现在一个offer都没有   一个都没有    难受
前端开发岗
腾讯面经",
【腾讯】-前端岗-暑期实习,"怀揣着一颗进大公司的心，继蚂蚁金服挂了之后，又去投了腾讯
因为没录音，所以有点记不清楚问题是什么了，尽量回忆
先问了一些前端]技术问题，基本都能答的上来，之后问项目中的问题，这个功能是怎么样的，怎么做的等等。然后手撕代码：实现类似百度输入框提示，要求点击可以补全输入
三面真的非常难，好几个问题不会，一度以为自己要凉了。。。全程不问前端的问题，更偏算法
一个声音超级好听的小姐姐，口头禅：嗯，了解
其实和hr聊的很愉快，好像是因为我说了：不考虑在深圳定居，然后被挂了。。。挂了。。。了。。。
仔细一想，这么说是必挂的，谁愿意招一个会跑路的呢
前端开发岗
腾讯面经
腾讯面试",
【腾讯】-前端岗-三面凉经,"前言，终于结束了这几个的面试，目前都处于等消息中，腾讯三面后还没消息，应该是凉了，写点面筋希望能带来好运
面试官是个小姐姐，人非常nice
自我介绍
事件流
koa有学过吗
事件循环说一说
vue nextTick原理
vue react区别
web优化
移动端的优化有特别了解过吗
css flex了解过吗
有自己写过webpack插件吗
webpack loader 和plugin区别
如何前端监控错误，
web新技术了解过哪些，最近有去学习哪些东西
PWA你能详细说说吗
service worker
h5 worker
非受控组件 与受控组件
const let var区别
三道题
实现promise
大数相加
纯js写一个动画，5s由快到慢，速度自定义
（这里特别感谢以前发过面筋的同学，前两道题因为碰到过，自己下去做了一下 10多分钟给做完了 然后又让我补了一道）
自我介绍，说一下怎么学习前端的，以及做的项目的亮点
web优化
缓存（协商，强制说一说）
CDN
DNS如何查询域名的
node中间件原理
跨域
作用域
一个页面白屏，分析原因
数据结构链表
怎么判断链表有环（当时还问我是不是刷了很多题，我们都笑了笑）
cookie了解吗
cookie的属性，怎么存储
web安全，xss csrf
css响应式布局
token生成过程
前端新技术
PWA讲一讲
serviceworker
h5 worker
智商题
3.45分夹角
两个火车相对而行，知道彼此的速度，中间有一个小鸟来回飞 知道小鸟的速度 求相撞的时候的 小鸟飞行的距离
10瓶药，每瓶药有10颗药片，每片10克，其中一瓶药里的所有药片是坏的 每片重量为11克，现在给你一个秤，如何一次性称出来
自我介绍
web优化
css动画
csrf如何防御
如何生成token
Vue的diff能详细说一说吗
Vue子组件你的子组件方法是放在哪里的
Vue自定义指令
微信小程序接触过吗
微信小程序原理
TCP三次握手第三次失败了 客户端和服务端是如何处理的
301，302状态码区别，以及什么时候会返回这些状态。
node如何升级到webSoket
如何添加header头
DNS迭代和递归区别
前端怎么设置cookie过期
有看过源码吗
看过哪些书
能来实习的时间
智商题
一个班级60%喜欢足球，70%喜欢篮球，80%喜欢排球 求同时喜欢足球和篮球的
算法最大的回文字符
前端开发岗
腾讯面经
腾讯面试",
【腾讯】前端岗-Web前端实习（已得offer）,"背景：双非二本 从大一第二学期开始实习，实习过两个公司，一个 NGO（远程），一个新媒体公司（暑假
到班+远程）。
都说腾讯很重视计算机网络，这点开始我还是蛮担心的，因为自己这学期刚开计算机网络这门课，所以其
实面试提到的都是自学的。
接近提前批尾声，具体时间应该是3.25投的简历，（也只投了腾讯，没有投其他的）。
具体时间线：
差不多就是这些问题啦，总体上都答出来啦，3.26下午五点突然来电，约了第二天上午的一面。面试小哥
哥声音超级温柔，然后因为这是自己投的唯一一个公司，多多少少还是有点小紧张：），结果小哥哥一直
在说，别紧张，然后开始引导，然后还很喜欢用“我们”这个词。
“我们可以联想到一个场景”
“我们可以这样想：”
“那我们换种思路”
让我倍感亲切，聊完上面的问题后，就开始聊人生啦，总体氛围蛮不错的，然后聊了下平时一般是怎么学
习前端的，在哪里关注到一些新技术。
最后到我提问，我还是问了那个经典问题：您觉得我还有什么地方可以提高的嘛？
面试官说：基础什么的都挺不错的，写的博客质量也蛮高，但是数量不够啊，以后要积极写多点。
就这样结束了愉快的一面。
然后官网上状态先是从开始暂未发起，变成了初试，然后大概半小时后就变成复试了。
二面开始的非常突然，当时我在吃外卖，就收到来电了，接了电话问我是否方便，然后就开始面试啦。
面试官说，我们就聊个十分钟。
二面就围绕着这个问题一直展开，但好像是我这边信号不好，经常没有听清楚面试官的问题，然后一
直说“可以再说一次嘛”，真是尴尬。
我就开始分析 balabalabala，然后电话另一边的面试官就一直重复 嗯、对、好、嗯，像是一个没有感情的
杀手。
然后他就说他要去开会下，晚点再联系我。
面完有点慌，面这么短，会不会是自己没答好。但是回过头去 review 一遍自己的回答，好像能说的点也都
说了，然后也没那么担心啦。
然后官网状态一直是复试状态。
3.29 晚上 23:47 分收到的牛客视频面试邀请，就在第二天。
第一次进行视频面，面我的应该是部门的Leader，一直问我关于网络的东西，没有涉及到前端知识。
大概就是这些问题啦，我还以为面试官会在牛客上出题让我做，结果没有，感动！
然后就说他这一面是技术终面啦。
然后看官网的状态，秒变HR面，激动！
约的是当天下午 16:30 ，然后到了五点还没接到电话，我就打去邮件那个电话去问啦，然后 HR 刚好打
过来，我不小心按了挂断！
还好他又打来一遍，是 HR小哥哥，先是很温柔的道歉了，说手头上工作没忙完，我说没关系没关系，然后
就开始问我问题啦：
然后问完这四个问题，他说：前面几面的面试官对你评价都挺好的，我就没有其他问题问你啦，目前提前批招聘工作正在收尾阶段，我们会尽快跟你确认相关事宜的，等电话就好啦
听到这句话我还满激动的，悬着的心可以放下一半了。
官网状态从 HR面试 变成 已完成 。
在这几天里还是很忐忑！因为看到有小伙伴是从已完成变灰的，害怕。
期间也去问了我的内推人，她也说我的评价挺高的，叫我不用太担心。
然后终于在 4.3 中午收到期待已久的 OFFER CALL 啦！
顺利赶上提前批的末班车！
感谢牛客网，还有在上面分享面经的小伙伴们！
最后祝大家好运，拿到自己心仪的 OFFER!
前端开发岗
腾讯面经
腾讯面试",
【腾讯】前端岗-三进二出备胎到老,"提前批被捞。据说只有一周有效期，我就单纯的约了最后几天面试。。。问题问的比较多，自认为答得还
行，问面试官也评价说挺好的，然而。。 当了备胎直到有效期过期灰掉
写一个行内onclick 行外赋值onclick和evenrlistener，怎么输出
es6了解哪些
let var的区别 const呢
const不变的是什么？
a.b=1这种呢？会不会报错？
怎么限定对象里面的所有对象都不能被修改，对象里面可能还有对象
for of for in的区别
for in怎么遍历对象的非原型链上的属性
for in遍历对象存在的问题有什么
for of可以遍历对象吗
数组的解构的问题，[1 2 3 4 5] [a.b…c]中c是什么
…rest和arguments的区别是什么
了解web worker吗
闭包的作用
闭包的应用场景
如果去掉了所有闭包功能，会出现什么问题
bind call apply区别
webpack的工作机制
redux的作用
react父节点数据变了，但传给子节点的没变，子节点变不变？
如何在数据不变的情况下阻止子节点render
render返回的是一个什么
git常用命令
多人合作时，怎么用git
历史记录是[1.2.3.4.5.6.7]，发现3.4.5有误，怎么用git直接去掉这部分变成[1.2.6.7]
css动画怎么绘制
哪些属性会触发gpu工作
canvas和svg的区别
xhr请求的5种状态中4是什么意思
如果给后台发一个json数据，怎么发？后台怎么知道你发的是json
发请求怎么带上cookie
为什么默认不带
了解json和二进制之间的转换吗
js里面大的数字字符串转number的时候，最后几位会去掉，为什么？怎么办？
es6和commonJS的模块定义的区别
“abcd567″++的结果
继上次十天有效期过后，第二次提前批被捞，居然约了上午十一点！！这后续估计时间又无法控制，当时
不知道命运会如何…（结果就是虽然面了三面，而且面试官肯定的说会通知结果，然后就接着备胎一周直到
正式批…备胎到老！扎心）
一个小时内高效面完三面，所以具体问题也没问多少。。。稍微记一下是：
正式批漫长的等待，等到现在也没给个结果…期待一下好运吧。。。
一面：
二面：
遇到过什么问题
以上都是北京这边的腾讯部门，中途接到过一次深圳的电话。。表示了去不了。。就简单聊了一下项
目。。然后。。感觉腾讯并不友好T T 但还是要加油鸭！！
更新…刚刚三面…等了两个小时…分外悲凉…伴随着下雨…又冷又….
现在回过头想想好像一个前端的问题都没问？？？
以上基本都是不了解…
没了？？？一脸懵逼？？？前端呢？？js呢？html呢？可能一首凉凉送给自己，再次感受到不友好 T T
更新…
不不不不，no 不友好了，腾讯(鸽厂)大大再爱我一次，刚刚HR面完，说是通过了，但是不知道北京还有没
有岗位…拜托友好一点！！不要再备胎了，来分享求一波好运~
前端开发岗
腾讯面经
腾讯面试",
【腾讯】前端岗-实习（一二三）面经,"上周五收到的周一视频面的通知，周一到周三连续三天，三轮面试经验
1、vue的生命周期?
2、Mvvm响应式原理？
3、常见设计模式及其应用场景？
4、 原型链？
5、闭包？应用场景？
6、Es6的新特性？
7、 Css position相关？
8、Html语义化？
9、冒泡排序？
10、Html大纲？
11、浏览器兼容性？
1、vue的生命周期？
2、Js数据类型，堆和栈的区别？
3、Vue的diff算法？怎么样才算samenode（源码相关）？比较子节点的时候顺序比较行不行？
4、用defineProperty进行数据劫持的缺点？怎么办（考察vue3.0数据劫持的方式proxy）？
5、手写二分查找
6、Css盒子模型？
7、Express中间件？
8、Symbol？作用？
三面约的19：10，结果前面面试的同学太多了，到19：45才面上
1、从输入url到显示页面的过程？
2、这个过程中有哪些会影响性能？
3、闭包原理？适用场景？
4、Es6有哪些了解？
前端开发岗
腾讯面经
腾讯面试",
【腾讯】前端岗-PCG四面面经,"抓住了提前批的尾巴！
此前也被CSIG、WXG、IEG捞过不下5次，但是都没把握住机会。
4.10再次被捞，是PCG的
因此这份面经就只写走完流程的吧~
1、web服务用过哪些？
2、你提到了nginx，有做过一些负载均衡吗？
3、了解h5吗，说说新特性？（其实是想问我移动端适配，但我不了解移动端，压根没提到）
4、知道http1.x和2.0的区别吗？
5、（接上一问）有没有去了解过传输效率方面的对比？
6、看到你有用过vue，说说vue的特性？
1、怎么学前端的？看过哪些书？（提到了js高程）
2、你说说你最熟悉的章节吧？（我说作用域链）
3、说说属性的查找过程？
4、那如果要你实现一个作用域链你怎么实现？
5、了解map的实现吗？（因为上面提到了map，我实在是憨憨）
6、现在你去实现一个map，需要提供哪些接口？（因为我说不了解实现，所以他有点无奈，就这么问我了）
7、了解mysql吗？（我说用过…他笑了笑，说就写写curd是吧，好吧）
8、问一个老套的问题，说说url输入到页面显示发生了什么？（这里除了一些常规过程，在缓存、http协议等都深入去讲了，毕竟这么送分的题不能浪费你说是不）
1、聊项目
2、了解网络模型吧？http和tcp分别在哪一层？
3、如果有一段数据，你是用http传还是tcp传？（当时听到这个问题感觉有点奇怪，不过还是分析了一下，讲到后面估计面试官也觉得这么问有点奇怪，就问了下一个问题）
4、http在tcp上做了什么，你怎么去实现http？
5、说说tcp和udp的区别？
6、那如果让你做一个视频聊天软件，你用tcp还是udp？为什么？
7、tcp的三次握手了解吧，为什么是三次？
8、换个说法吧，tcp是怎么去保证可靠传输的？
9、（接上一问）接收方是如何确认收到的报文是对的？
10、（接上一问）你说的seq和ack我知道，他们之间什么关系？
11、（接上一问）那这个ack到底是怎么来的，接收方怎么知道报文的长度呢？（…….这里讨论了很久，具体也不说了，反正就是很细节）
12、如果有一个页面，打开很慢很慢，你怎么去优化？
13、那如果要你缓存图片你怎么做？
1、聊项目（小程序）
2、有没有了解过小程序的性能问题？
3、从点开小程序到小程序加载完之间你了解过其中过程吗？怎么去优化？
4、你提到减少http请求，怎么去减少？
5、你刚刚只是说了请求慢的解决办法，现在问的是怎么去减少请求？
6、你提到了首屏加载，你知道首屏打开时间是怎么计算的吗？
7、说一说页面渲染的过程？
8、构建dom树、cssom树、渲染树就完了吗？中间发生了什么？
9、布局呢？reflow？
10、你提到了js会阻塞加载，怎么阻塞的？
11、那如果在dom树构建的过程中，通过js操作dom怎么办？
12、浏览器怎么知道页面是否渲染完？
13、有没有了解过缓存，怎么去缓存图片？
14、了解http缓存吗？说说强缓存和协商缓存？
15、那这两种缓存怎么用？你说的都是概念，我问的是怎么用？
16、了解前端安全吧，详细说说CSRF？
17、那黑客是怎么去利用cookie的？这个请求到底是怎么构造的？
18、说说快排原理？
19、了解前端发展趋势吗？
20、你是怎么看待前端的？
其实整轮面试下来，一二面很常规，都是面经题（其实期间还问了很多js、css等，但我忘了具体问什么
了…..）
后面的三、四面就比较发散，看起来每个问题都很简单，但其实都是送命题
如果你是背面经或者了解不深入，是完全没办法接住问题的
总的来说没有什么特别难的，但较为细节
gm面那里写的比较乱，其实问了很多问题，但是没办法一一细说列举了
求个OC吧！！！！！
前端开发岗
腾讯面经
腾讯面试",
【腾讯】前端岗-21届秋招面经,"（编程题）二进制表达式中1的个数
（我上来直接toString（2）转换成2进制，循环判断有多少1，然后又问有没有其它方法 ）
（编程题） 连续子数组最大和
（编程题）将数字转换成对应的大写字母
1->A 26->Z 27->AA 52-AZ
要注意边界0的边界处理
vue框架的特点
router有几种模式
vue的自定义指令directive
常用的网络协议
http常用的请求头
跨域的几种方式
有没有写过后端的代码（上一个问题中我提到了后端代理，就问了这个问题）
express的api设计的好么（上一个问题我提到了express框架就问了这个问题）
前端安全方面的了解
xss攻击中url上面添加代码如何方法（上个问题中提到了xss的基本解决方案）
如何自学前端的
for in 与for of的区别
proxy和reflect是做什么的
js是单线程的还是多线程的
如何进行代码管理的
对自己的未来规划
工作地点的问题（问能不能提前过来实习）
当时二面的时候，不知道脑子怎么的，抽了，在自我介绍的时候，提到了使用过阿里的域名和服务器，突然
以为自己现在是在面试阿里，结果说了句希望能够进入到我们阿里和一群大佬们做出优秀的产品。当时还没
有意识到面试官在笑什么，并且开始疯狂的暗示我，问我如果同时拿到阿里和腾讯的offer会去哪一个公司呢
（我理所当然的把阿里夸了一番，表明要去阿里），又问我知道面试的到底是什么公司么，配上他再也憋不
住的笑容，我才意识到自己正在犯罪，后来还是按照流程将面试给进行完了。（当时自己就不想继续面下去
了，觉得怎么面都是浪费时间）
具体的面试内容没有记录，问我了上一次面试中没有回答好的问题有没有私下里进行进一步的学习，接下来
就是手撕代码加一些常规的问题，没有念想无欲无求后，没想到整体回答的还不错，真的没想到后来还通知
了我三面，不得不说腾讯的面试还是比较公正的。
其实前端的面试内容很多是相同的，大家可以点击下面的连接，看一些其它公司的面试内容，做一些练习。
前端开发岗
腾讯面经
腾讯面试",
