问题,回答,所属分类
联系帅地,大家好，我是帅地，也是该网站的经营者，你可以通过以下方式联系到我： 1、邮箱：1326194964@qq.com 发邮箱的时候，麻烦在标题说明来意，否则会被忽略。 2、微信号：iamshuaidi0 添加好友的时候，也麻烦备注来意，否则不会,帅地
如何判断一个数是否在40亿个整数中？,题目：我有40亿个整数，再给一个新的整数，我需要判断新的整数是否在40亿个整数中，你会怎么做？ 【请教大神】 小史回到学校，把面试的情况和计算机学院的吕老师说了一下。 小史忙拉着吕老师问，为什么我说分8次加载数据，面试官会说太慢了呢？ 吕老,算法面试
如何实现可以获取最小值的栈？,小史是一个应届生，虽然学的是电子专业，但是自己业余时间看了很多互联网与编程方面的书，一心想进BAT。 今天他又去BAT中的一家面试了。 简单的自我介绍后，面试官给了小史一个问题。 题目：我现在需要实现一个栈，这个栈除了可以进行普通的push,算法面试
记一次 shopee 面试：最小栈的最优解,前阵子面试的时候，在 shopee 的一面中，问了我一道最小栈的问题，关于最小栈的问题，我以前是做过的，以为是送分题，最结果最优解没写出来，不过也脑补了一些优化，算是答的还行。下面我先大致描述下这道题，然后一步步给出最优解以及我在面试中是解,校招面试
为什么要分稳定排序和非稳定排序？,小史是一个应届生，虽然学的是电子专业，但是自己业余时间看了很多互联网与编程方面的书，一心想进BAT互联网公司。 今天他去了一家互联网小巨头公司面试了。 没想到面试并不像想象中的顺利。 【遇见吕老师】 【面试现场】 小史：原始数据，a2和a4,算法面试
如何编程解决华容道问题？,小史是一个应届生，虽然学的是电子专业，但是自己业余时间看了很多互联网与编程方面的书，一心想进BAT互联网公司。 今天他就去一家外企面试了。 【面试前】 面试前，小史就收到了中英文的面试邀请。 去外企面试，最好要能够和面试官英语对话。小史除了,面试现场
如何找到字符串中的最长回文子串？,小史是一个应届生，虽然学的是电子专业，但是自己业余时间看了很多互联网与编程方面的书，一心想进BAT互联网公司。 今天他又去一家互联网小巨头公司面试了。 【面试现场】 小史：只要先对比第一个字符和倒数第一个字符，再对比第二个字符和倒数第二个字,算法面试
如何在500w个单词中统计特定前缀的单词有多少个?,如何在500w个单词中统计特定前缀的单词有多少个？ 今天小史去了一家在线英语培训公司面试了。 简单的自我介绍后，面试官给了小史一个问题。 题目：我有500w个单词，你帮忙设计一个数据结构来进行存储，存好之后，我有两个需求。 1、来了一个新的,算法面试
如何在10亿数中找出前1000大的数？,小史是一个应届生，虽然学的是电子专业，但是自己业余时间看了很多互联网与编程方面的书，一心想进BAT互联网公司。 之前小史在BAT三家的面试中已经挂了两家，今天小史去了BAT中的最后一家面试了。 简单的自我介绍后，面试官给了小史一个问题。 【,算法面试
如何编程获得最多的年终红包奖？,小史是一个应届生，虽然学的是电子专业，但是自己业余时间看了很多互联网与编程方面的书，一心想进BAT互联网公司。 今天小史又去了一家互联网小巨头公司面试了。 【面试现场】 小史眉头一皱，发现事情并不简单。 题目：在数字矩阵中，从左上角到右下角,算法面试
如何编程解决朋友圈个数问题？,小史是一个应届生，虽然学的是电子专业，但是自己业余时间看了很多互联网与编程方面的书，一心想进BAT互联网公司。 今天小史去了一家社交小巨头公司面试了。 【面试现场】 面试官：举个例子，比如现在有5个宠物，分别是小猫1，小猫2，小猫3，小狗1,算法面试
如何设计可自学习的五子棋AI？,小史是一个应届生，虽然学的是电子专业，但是自己业余时间看了很多互联网与编程方面的书，一心想进BAT互联网公司。 今天他去了一家国内人工智能巨头公司面试了。 简单的自我介绍后，面试官开始发问了。 【面试现场】 题目：如何设计可自学习的五子棋A,算法面试
为什么MySQL数据库要用B+树存储索引？,小史是一个应届生，虽然学的是电子专业，但是自己业余时间看了很多互联网与编程方面的书，一心想进BAT互联网公司。 话说两个多月前，小史通过了A厂的一面，两个多月后的今天，小史终于等到了A厂的二面。 简单的自我介绍后，面试官看了看小史的简历，开,算法面试
