问题,回答,所属分类
Shopee 前端岗开发面经汇总,"本系列将提供Shopee 前端岗位历年面经，所有面经都有候选人面试之后根据回忆整理而出，大家可以通过面经来复习以及看看Shopee面试难度。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 【Shopee】前端岗-社招面经分享
1. 【Shopee】前端岗-社招面经分享
2. 【Shopee】前端岗-热乎的的虾皮2022秋招面经
2. 【Shopee】前端岗-热乎的的虾皮2022秋招面经
3. 【Shopee】前端岗-base深圳二次面试经历
3. 【Shopee】前端岗-base深圳二次面试经历
4. 【Shopee】前端岗-2021校招提前批
4. 【Shopee】前端岗-2021校招提前批
5. 【Shopee】前端岗-虾皮第四批(已oc)
5. 【Shopee】前端岗-虾皮第四批(已oc)
Shopee面试
前端开发岗

ㅤ普通",
【Shopee】前端岗-社招面经分享,"发现shopee今年还是挺火的，招的人也挺多，但是面经很少，所以记录一波，有需要的看下。
1.自我介绍
2.单向链表输出倒数第K个元素
3.看代码输出结果（考察变量、函数提升）
4.看代码输出结果（考察异步代码先后顺序）
5.手写instanceof关键字
6.手写Promise
7.react中为什么不能在for循环、if语句里使用hooks，说下react hooks实现原理。
8.说下react fiber。
9.看你之前做过RN开发，说下RN的原理。
10.说下输入一个url地址的全过程。
11.http的缓存策略。
12.说下https，证书是如何校验的？
13.说下http2，你觉得阻碍http2发展的问题是什么？（这题后面的问题挺有意思，可以网上搜下答案）
14.算法题。跳格子问题，假设一次只能跳一个格子和两个格子，N个格子有多少种跳法？
1.自我介绍
2.为什么要离职？
3.对你的项目经历中RN做的app挺感兴趣的，你能详细说下这个项目吗？
4.RN中原生和js端是如何通信的？你说后面使用JSI了，你能说下JSI的实现原理吗？
5.如果要你对这个app进行性能优化，你有哪些办法（面试官问了三次还有其他办法吗？）
代码层面，按照react的优化，减少re-render次数。图片加载用react-native-fast-image,页面初始化的逻辑使用InteractionManager.runAfterInteractions。去掉无用的View层。
进行分包加载，启动时只加载启动页面bundle，二级及更深页面等访问到再加载。
一些复杂的控件，写原生模块，比如日期选择、下拉选择、级联、播放器等。
6.你们的RN热更新服务是怎么做的？热更新原理是什么？你们的热更新策略怎么做的？
客户端用的微软的code-push,服务端用的code-push-server。
热更新原理就是app每次启动会请求热更新服务器，对比下本地bundle版本和服务器的bundle版本，如果版本不一致，就会根据配置的更新策略下载、更新bundle,然后重新reload bundle。
我们就是在检查到新的bundle后，会弹窗强制更新。
7.设计一个RN热更新服务，需要考虑哪些地方？
bundle体积大的问题。打包的时候需要进行分包，使用增量更新，减少下载体积。
用户的网络不稳定、网速差问题。需要用CDN加速，支持断点续传。
安全性问题。
bundle被中间人劫持篡改。使用https下载，并按照https的加密思路，对bundle用hash算法进行签名，然后app端检验签名是否被篡改。
bundle下载地址被暴力攻击。检查User-Agent,只允许手机设备下载，记录设备id，在一定时间内限制下载次数。
8.你有什么要问我的吗？
就一些简单的问题，这里就不说了。到hr面，基本都能过。
整体难度一般，一面没有区分度，感觉一年经验和五年经验都是一样的。二面不错，对项目进行了深挖，考察了架构设计。问的问题偏向于RN，最后进来也是做C端的RN开发。
在shopee的工作体验确实轻松，不卷，但是过于轻松，又担心自己的产出。差不多就这样吧。大家自己看一看我写的面经，或许有所帮助吧。
Shopee面试
前端开发岗

ㅤ普通",
【Shopee】前端岗-热乎的的虾皮2022秋招面经,"超级无敌好的面试官，面试正式开始前还说他会用电脑做记录，可能有停顿，希望不要介意（我不介意！！！您慢慢记！！！多记点好的了）
介绍一下在实验室做了些什么
除了 flex做响应式布局，还有别的方案吗（说了 grid）
介绍一下你了解的flex
css实现垂直水平居中，尽可能多的方案
问我更擅长哪一方面，他就问什么（太好了吧? 说了css和js）
元素隐藏的方法
我：display: none、visibility: hidden、opacity: 0, z-index,
面试官： position: absolute移到可视区域外、缩放 transform:scale(0),
面完后我搜到的：文本缩进属性text-indent: -999px、lip-path: polygon(0 0, 0 0, 0 0, 0 0)、height: 0; overflow: hidden;
什么是重绘和重排，怎么减少
怎么引起重绘和重排
答：样式改变触发重绘（这个不太对，所以面试官又接着问了） dom结构改变引起重排（应该没答完整所以继续追问了）
单纯改变样式会引起重排吗，比如padding和margin
答：会引起
哪些样式改变会引起重绘，哪些会引起重排
答：调整字体大小、窗口大小、样式改变（我仿佛脑抽了用问题回答问题，其实我想说颜色这种样式的改变，被抓住了这一点，见13）会引起重排
所有样式改变都会引起重排吗
答：改颜色只会引起重绘
缩小元素怎么不引起重排，比如10px * 10px 变5px * 5px；
答：一紧张说了个translation？？给面试官逗笑了55555
面试官：translate / transform确实不影响真实占位不会重排，但是改位置和改尺寸会引起重排，因为要重新计算div的位置大小，
只要不改div在整个布局的位置和尺寸就不引起重排，比如你刚说的改变字体大小和窗口大小就会引起重排。
我主动补充了opacity:0和position: absolute/fixed脱标可以减少重排
面试官：先绝对定位掉，等全部渲染完再（什么什么听不清了）减少重排的次数
promise解决了什么问题（回调地狱）
promise的方法
说了then, catch, 面试官补充了all race
对算法和数据结构有信心吗（我没有哈哈哈）
面试官是css组的（耶！躲过一劫！ ）但是说了需要去了解算法思想
考考正则，命名转小驼峰
可能的输入：TestVal，test_val, TEST_VAL ，要求实现驼峰命名的输出
面试时只考虑了后面两种，所以就直接先转小写然后匹配下划线
css选择器考察
（1）获取当前页面的所有 dom节点
（2）获取当前页面的所有 p节点
（3）获取当前页面带有data-click属性的节点，color设为白色
伪类和伪元素，知道哪些，有什么区别自我介绍+项目介绍（超温柔的面试官就是问的问题一点也不温柔，会一直深挖?）
反问环节
（1）看中面试者的那一方面（只要有一个方面够突出就行，了解的多并有专精能力）
（2） 公司业务
项目中身份校验用的token和sessionStorage
问：为什么信息存在sessionStorage而不是别的地方
问：sessionStorage和localStorage区别
问：sessionStorage在同一个标签页跳转之后还在吗
为什么项目使用vue而不是react
vue3.0了解吗？他的特性
vue3.0的生命周期为什么变更
vue3.0的proxy解决了什么问题
用ES5还是ES6
ES6的promise的异步回调解决了什么问题
作用域和作用域链
箭头函数的特性，它的this指向在编译的时候决定还是运行的时候决定
写代码：new操作符干了什么
写代码：
给定一个只包括 ‘(‘，’)’，'{‘，’}’，'[‘，’]’ 的字符串，判断字符串是否有效。
有效字符串需满足：
左括号必须用相同类型的右括号闭合。
左括号必须以正确的顺序闭合。
注意空字符串可被认为是有效字符串。
https是怎么实现，解决了什么问题
服务端发送给客户端的证书咋校验有效的
Shopee面试
前端开发岗

ㅤ普通",
【Shopee】前端岗-base深圳二次面试经历,"选择，单选10，多选5
padding继承父级宽度
flux流程
cookie的几个属性，must-revalidate，same-site等
抽象类中可以有非抽象方法，有抽象方法的一定都是抽象类
cache-control属性
css浏览器前缀
。。。还有一些忘了
代码
返回排序后前n个元素
第二题题目太长
判断一棵树的对称性(层序遍历判断)
7.11 50分钟
面试官的自我介绍？？
为什么学前端？离职原因？
浏览器多进程架构
缓存存储位置，Cache文件夹
常见状态码
协商缓存和强缓存
Etag生成原理
http和https
cookie
同源网站和同站点网站的cookie设置
公司内部的单点登录系统的原理
内存泄漏，导致的原因，减少方法
dom事件流机制
事件循环
看代码输出
setTimeout(() => {   console.log(1); }, 0); console.log(2); new Promise(res => {  res(console.log(3)) console.log(4); }).then(() => {   console.log(5); }); (async () => console.log(6))();
reflow和repaint
减少上述两个的方法
js脚本的async和defer属性，顺序问题，(defer可以保证插入的顺序，async不能保证顺序)
css的预加载属性(prefetch)
数字的精度问题(Number.MAX_VALUE和安全整数)
(双精度，64位存储，1位符号，10位指数，53位底数存储，最大是2^53，超出显示会有精度缺失，还有一个安全整数，超过这个安全整数的运算会有精度问题)
代码:
字符串相加 原题https://leetcode-cn.com/problems/add-strings/
还有好多，忘了。。。考的挺广的
1小时，7.14
自我介绍
es6 新语法
let，var，const
Set,map,weakSet,weakMap
弱引用的具体场景
箭头函数
ts的知识，不会，过
defer和async的script脚本
css 0.5 px实现
reflow、减少机制，措施
博客、分享
实习项目，和我自己的项目做的时候的难点、亮点分享
代码:
代码一般一道题或者两道题，看剩余时间，打的快可以多做一道加分题(面试官说的)
Promise.all 和 race 实现
7.23 hr 已面，通知八月底再联系offer情况
Shopee面试
前端开发岗

ㅤ普通",
【Shopee】前端岗-2021校招提前批,"去年年底在牛客网找了Shopee新加坡的前端内推，目前已完成终面，来分享一下经验。
面试流程一共四轮：
HR电话面（简单了解情况，无技术内容）：
是哪里人，为什么会选择新加坡岗位，找工作优先考虑哪些因素，为什么选择前端
一上来先简单问了下做过项目的难点，然后顺带问了一下浏览器的强缓存和协商缓存机制。
接着是几道手撕代码题（有几题记不清了
这轮考察数据结构和算法，全程就一道题手撕代码。
输入如下：
const sourceData = [
[“bag”, “purse”],
[“purse”, “hand purse”],
[“bag”, “backpack”],
[“purse”, “purse wallet”],
[“purse wallet”, “coin wallet”],
[“purse wallet”, “man purse”],
[“shoe”, “nike shoe”],
];
根据输入建立一个如下图的sankey diagram（类似电商的商品搜索路径图）
“bag”  ➡  “purse”     ➡  “hand purse”
↘             ↘
↘             “purse wallet”  ➡  “coin wallet”
↘                           ↘
↘                           “man purse”
↘
“backpack”
“shoe”  ➡ “nike shoe”
要求实现一个函数返回该图的width(最长路径)和height(路径总数)。如上图的width = 4, height = 5。
我的思路是用类似树状结构存储数据，每个树节点有一个array用来存放子节点。然后用DFS遍历整棵树求出叶子节点个数即为height，用backtracking思想可求出最长路径width。
（我自定义树节点构造函数的时候有挺多语法错误，有点尴尬；面试官说我思路正确，然后点了几个可以优化的地方让我修改了下）。
终面也是技术面。上来先做自我介绍，问了一些项目经历（我项目经历真的少），问我为什么使用Django，为什么会学习React，怎样学习CSS的，学习编程语言的方法；
然后问了从在浏览器地址栏输入url，到用户看到页面发生了什么。
我说的有点笼统，然后又详细问了DOM树和CSSOM树的元素是不是一一对应的（我真不会）；
浏览器先加载还是先渲染页面，为什么会这样；
如果有defer属性将如何执行，问我了不了解的defer和async（我真不了解async）；
接着问了cookie的具体存储形式，是由浏览器还是服务器端设置的，为何能保存用户登录信息（问的太细了，我真没咋准备好）。
顺带问了cookie, session storage, local storage的异同，我提到了同源，又问了一下同源是什么；
然后给了一个场景，给定一个DOM元素和一个字符串，问如何根据DOM元素的最大宽度返回能容纳的最长的子字符串（说思路即可）。
我实在不会DOM的API，面试官就给了一个Helper函数，能返回字符串在页面中的实际宽度。
然后我的想法是从后往前截短字符串，直到子字符串实际长度小于等于最大宽度。
面试官于是问了时间复杂度（O(n)？），问我如何优化；我说二分法应该可以优化到O(logn)。
又问有没有O(const)的解决方案，我当时没想出来（现在想想应该是用个map记录所有合法字符的所占宽度，然后从头扫描字符串当总宽度大于DOM元素宽度时停止，这样空间换时间应该能达到常量时间复杂度）。
接着问了我平时怎么学习新技术（我说上MDN看文档，看GitHub项目源码，大神博客），问我会不会去看CSS标准（说实话没咋看过）
问我在这个团队希望能学到什么东西，为什么；
然后就是反问环节，我水了两个问题就结束了。
总结：面试体验很好，面试官都很年轻很随和。
二面就一道题考数据结构和算法，考的挺全面的，基础一定还是要打好，各种链表二叉树BFSDFS等等都得熟练。
终面真的就是一路追问到你答不上来为止（也可能我太菜了，感觉我终面说得最多的一句话就是“这部分我没有深入了解”），千万不要给自己挖坑随便提一些不了解的知识点。
许愿能上岸吧。
祝各位也好运。
Shopee面试
前端开发岗

ㅤ普通",
【Shopee】前端岗-虾皮第四批(已oc),"虾皮前端第四批
4.7 笔试
15:00 55min
postiton各属性
样式优先级
bfc
flex
跨域CORS
CORS如何携带cookie
事件循环
http缓存
promise
判断输出结果：
1.es6 module循环引用题
2.TS泛型题
手撕：手写数组扁平化
数组哪些方***使原数组发生改变
有些不记得了，都是基础题。
15:00 47min
聊项目
聊公司
如何考虑是否去一家公司
事件循环题判断输出
手撕：斐波那契数列三个写法：递归、动态规划、缓存
React hook
useCallBack
pureComponent原理
xss攻击
二面大部分时间还是聊聊天，面试官也很nice，也聊了聊他的经历。虾皮面试总体还是很简单的，都很基础。
4.24 HR面 20min
4.29 oc sp
Shopee面试
前端开发岗

ㅤ普通",
Shopee 客户端岗开发面经汇总,"本系列将提供Shopee 客户端岗位历年面经，所有面经都有候选人面试之后根据回忆整理而出，大家可以通过面经来复习以及看看Shopee面试难度。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 【Shopee】客户端岗-ios开发一二hr面经
1. 【Shopee】客户端岗-ios开发一二hr面经
2. 【Shopee】客户端岗-不错的安卓面试体验
2. 【Shopee】客户端岗-不错的安卓面试体验
3. 【Shopee】客户端岗-还愿shopee！附iOS面经
3. 【Shopee】客户端岗-还愿shopee！附iOS面经
4. 【Shopee】客户端岗-秋招的第一场面试
4. 【Shopee】客户端岗-秋招的第一场面试
5. 【Shopee】客户端岗-安卓SP专场
5. 【Shopee】客户端岗-安卓SP专场
Shopee面试
客户端开发岗

ㅤ普通",
【Shopee】客户端岗-ios开发一二hr面经,"楼主方向是C/C++，没接触过ios，但是ios开发不卷，投递的人很少，岗位要求也没说一定要接触过iOS开发，遂尝试投递
面试官感觉雷厉风行
自我介绍
不问项目
（1h）
C++多态（静态多态，动态多态）
动态多态内部原理（虚函数指针，虚函数表，一顿背）
继承用过吗？继承的优点？缺点？
继承和组合的区别（没答上来）
设计模式知道几个
归并排序具体原理和时间复杂度
知道什么是动态语言和静态语言吗（不知道）
什么是用户态和内核态
进程通信的mmap
虚拟内存知道吗？有什么用？
哈希表实现原理？有哪些映射方法？有哪些解决冲突的办法？
有没有了解哈希表什么时候要扩容，什么时候时间复杂度最差？
HTTP1.1和2.0的区别（还好面试前看面经看了一下）
HTTP2.0为什么采用二进制传输，多路复用能详细说说吗（没答上来）
TCP的滑动窗口机制
手撕代码：求删除一个字符串的一些字符，使其所有字符的频次不同，问最小删除字符个数
没见过的题，倒腾了20多分钟，最后经面试官提示写出来了，题不难，有点丢人
中秋节前一天，面试官感觉要回家赶火车，很急的样子
自我介绍
介绍项目
一面有没有什么问题你不会的
C++虚函数
C++内存分配
HTTP连接过程
数组和链表的区别
哈希表原理，知道LRU吗，是怎么实现的，为什么要用双向链表？
介绍一下快速排序
STL里面的sort为什么要用快速排序，不用别的排序
10G数据，只有256M内存，如何排序
手撕代码：二叉树的最大路径和，我问面试官要自己构建二叉树吗，于是面试官又换了一个合并两个有序链表，自己构建链表，不允许使用递归。
写到一半面试官溜了，换了一个新面试官，和他说了说代码思路
反问新面试官
问成绩
介绍项目
问一些个人信息
问求职最看重的点
个人性格
等等
反问
许愿意向书！
Shopee面试
客户端开发岗

ㅤ普通",
【Shopee】客户端岗-不错的安卓面试体验,"无语了，shopee应该是没hc了吧，昨晚十一点多 收到感谢信，大周末还在刷人真的辛苦了。
发发面经祝大家好运
首先自我介绍
首先事C++基础知识：
static 修饰变量和修饰函数
操作系统：
a = 100 是否是原子操作？不是的话原因是什么？
死锁的概念，四个条件以及解决办法
网络的问了很多
send recv accept三个函数是干什么的
什么是阻塞的什么是非阻塞的
socket通信中哪些函数是阻塞的
了解多路复用吗？讲一下select poll epoll
DNS解析的过程
https获取数字证书的过程，以及进行加密通信的流程，问的比较详细
mysql:
主键索引和唯一索引和复合索引
为什么不是所有字段都加索引
算法：
没有手撕代码
问了快排的思路和平均时间复杂度，最差时间复杂度
还问了归并排序的思路和时间复杂度以及是否是稳定的。
问了LRU
让讲一下思路以及设计的过程中那些部门是需要考虑多线程安全的
（没让手撕代码太爽了）
问的挺多的，可能有个别不记得了。面试官很好（虽然戴口罩了，但是感觉挺帅的）
等了一周多才等来的二面
首先自我介绍，听到我说主要用的C++
就问了用98还是11比较多，我说都用，他就问11新特性用过哪些
我答lambda表达式，范围for，auto关键字，智能指针
让讲一下智能指针的原理，我blabla
提到了构造析构，什么时候会析构？blabla
然后问了一段代码编译的整个过程
讲完问我如果有两个函数：if() 调用函数A else 调用函数B
在编译的整个过程中怎么判断B被调用了
他自己举例子把打印的方法说了，让我再想个方法
我答了链接阶段的（不太会，瞎蒙）
问了我知道哪些抓包工具，我就答了一个
然后问我一个URL到网页渲染的整个过程（老八股了）
然后问我整个过程中有哪些地方是不安全的（八股变股）
我答了DNS劫持和DDos攻击，问我怎样防范（我给忘了贼尴尬）
后面问了linux平常会怎样检查程序的错误啥的（不太会，说我做的是网络相关的）
就问了HTTP/2.0的优势，我答他问还有吗，问到没有为止（我已经一头汗了）
然后问多线程了解吗
讲一下进程线程
问线程同步的方式，方式的适用场景
然后又问了进程间通信的方式，共享映射区是怎么共享的
大概40min,结束了，让我反问
面试官很幽默，聊的挺好，就是给我问一头汗
基本就是八股深挖或者延伸出一些问题，不知道为啥一句项目也没问，是觉得太LOW了吗哈哈哈哈
目前虾皮和网易面试体验并列第一，美团面试也比较专业，虽然可能答不出来，但是态度好让人没那么紧张，而且不会很难受
大家加油，我撤退了
Shopee面试
客户端开发岗

ㅤ普通",
【Shopee】客户端岗-还愿shopee！附iOS面经,"时间：3月24号，120mins
15道选择题，三道算法题
第一题AC，第二题90%，第三题70%。
时间:3月28号，持续40mins左右
一.自我介绍
 面试官问为什么选ios端(= =)
我解释一番以后，然后面试官直接来了一句”那感觉也没什么好问的” 🙁
瞬间感觉凉了。。。
二.数据结构与算法
1.二叉树
 二叉搜索树,平衡二叉树,红黑树,以及它们出现的背景、特点等
这里问了一句:红黑树有什么特点?（五大性质,不会…）
2.排序
 说出几个主流的排序算法,说了冒泡,插入,选择,希尔,快排,堆排,归并
说一下希尔排序实现原理?比起插入排序,希尔排序有什么特点?
三.计算机网络
1.TCP与UDP的区别
 老面试题了，TCP可靠，延迟高，首部开销大，只能点对点等说了一遍
2.TCP的可靠传输机制
 校验和、编号-确认-超时重传机制、滑动窗口、拥塞控制
每个部分都说明具体的实现原理，漏了一个校验和，面试官提醒我的
3.ICMP协议
 不记得了。。。就记得用于追踪路由和检查网络用的
四.操作系统
1.线程与进程的区别
老面试题了，从单位、独立性、通信、上下文切换等角度谈
2.切换线程时，线程的上下文有什么？
这题不常见，书上写得很含糊，网上搜也比较难得到一个确切的答案，我就说了程序计数器、寄存器、还有缓存里的数据
3.悲观锁与乐观锁
3.1问了两者的区别，然后细问乐观锁的实现：CAS
3.2CAS以外还有什么办法实现乐观锁吗？（我也不知道。。。，胡扯了一个机器指令lock前缀）
4.Linux里，fork()方法是如何节省空间的
懒加载机制，没答出来，后面查的
5.进程的调度策略
FCFS、轮转、SPN、SRT、HRRN、反馈
五.数据库
1.索引的作用
加快查询速度
2.什么情况下不该用索引
值单一的属性、修改频率远高于读的频率
3.索引为什么用的是B+树而不是B树、红黑树等
六.算法
只有一道，求数组的最大子数组之和
七.反问与感悟
1.面试哪里做得还不够好
2.什么时候出结果
面完了还以为自己铁定挂了，结果第二天晚上就发二面邀请了。。。面试官一开始那句话真的吓人
时间:4月2号，持续50mins左右
一.自我介绍
面试官又问为什么选ios端(= =)
二.计算机网络
1.三次握手
1.1三次握手的流程
三次握手的流程，一开始说的比较简单被打断，要求我说出跟报文段相关的字段（ACK,SYN,ack,seq等）
这里还提了一嘴：第三次握手时，客户端可以携带正式数据，如果不携带，那么seq跟第三次握手的seq一样
1.2第三次握手的必要性
防止服务器建立重复的连接
这里还顺便说了每一次握手都能够检验客户端或者服务器的接收功能或者发送功能是正常的
2.HTTP
2.1 手写：HTTP的GET请求格式
反手啪得一声就上来一道题目，很快啊
要我写出HTTP的GET报文段的格式。一开始不理解什么意思，后来说是写HTTP请求的首部段的格式，也就是请求方法，URL，HTTP版本那些的
后来问了一句，abc.xyz.com?x1=y1&x2=y2里，x1和x2存放到哪里？（这里我不会，就说不确定，好像是后端如apache的web服务器会根据url解析参数）
2.2 HTTP响应报文里的状态码
从1-5开头的状态码和大体上的分类说了一遍
2.3 TCP和UDP的区别
次次面试都会问。。。
2.4 TCP的可靠机制
同上，这些算是shopee必问了吧，每次都会问这些。。
分别讲了拥塞控制里的四大部分和滑动窗口的具体实现
三.操作系统
1.进程和线程的区别
感觉每次shopee面试都会问这个问题
2.用户态和内核态
定义，区别等
3.死锁的充分条件
互斥、占有且等待、不可抢占、循环等待
四.数据库
1.手写：建立个表
2.索引
索引的作用,索引的缺点
五.数据结构与算法
1.主流的排序算法以及对应的复杂度
说了个七七八八
2.快排的实现原理
枢纽+分治
六.其他
算法题的顺序并不是连续的，记得第一道算法题是穿插在面试中间的
1.第一道算法题
判断一棵树是否为平衡二叉树
2.第二道算法题
给定一个字符串，求最长不重复字符串
真是欧皇啊，面试前练手刚好就是这道题。。。希望这运气不是从别的面试身上拿来的。。。
3.指针与引用
写完算法题以后，面试官见我用c++，问我c++的引用和指针的区别
4.Java的GC
4.1 判断对象是否为可回收对象
引用计数法、可达性分析算法
4.2 GC算法
标记-清除、标记-复制、标记-整理
5.hr问题
平常怎么学习，怎么解决问题，怎么分工合作
七.反问与感悟
1.面试哪里做的不好的
面试官说都做得不错，没有哪里不好的，还笑了。。。（然后自己也偷偷笑了一把，以为稳了）
2.什么时候出结果
hr统一处理，反正肯定是清明放假回来后了
感觉这一次面试很灵活，面试官完全是根据我的回答或者细节来出题的，中间也是边回答问题边写代码
shopee ios二面算是我最好的一次面试了，仅仅有一个小细节不确定，其他的都能答出来
按照面试官的反映，感觉稳了，希望不要毒奶自己，等hr面
等了很久，第二周周五晚上终于打电话来了。。。
时间：4月9日 19：30 14mins
从清明放假就一直等结果，不停在牛客上看别人的结果，后来8号的时候我的同学收到了后端的hr电话，9号的时候我一直都没有等到电话。本来以为至少要等到下周了，结果刚要吃饭就打电话来了。。。
大概就是问了为什么选择shopee、为什么选择ios端、希望有什么工作环境、个人的优点、缺点等常规hr问题
OC
时间： 4月16日
感谢shopee对我的认可！太开心了，还愿！
助大家拿到自己的offer！
Shopee面试
客户端开发岗

ㅤ普通",
