问题,回答,所属分类
腾讯Go后端开发面经汇总,"本系列将提供腾讯Go后端岗位历年面经，所有面经都有候选人面试之后根据回忆整理而出，大家可以通过面经来复习以及看看腾讯面试难度。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 【腾讯】Go岗-腾讯云社招
1. 【腾讯】Go岗-腾讯云社招
2. 【腾讯】Go岗-暑期暑期实习三面面经
2. 【腾讯】Go岗-暑期暑期实习三面面经
3. 【腾讯】Go岗-运营开发三轮凉经
3. 【腾讯】Go岗-运营开发三轮凉经
4. 【腾讯】Go岗-社招二面面经
4. 【腾讯】Go岗-社招二面面经
5. 【腾讯】Go岗-微保后台面经
5. 【腾讯】Go岗-微保后台面经
6. 【腾讯】Go岗-QQ三面（已拿offer）
6. 【腾讯】Go岗-QQ三面（已拿offer）
7. 【腾讯】Go岗-PCG腾讯看点
7. 【腾讯】Go岗-PCG腾讯看点
8. 【腾讯】Go岗-后台实习三面，已OC
8. 【腾讯】Go岗-后台实习三面，已OC
9. 【腾讯】Go岗-三轮超详细面经
9. 【腾讯】Go岗-三轮超详细面经
10. 【腾讯】Go岗-四轮技术面+HR面
10. 【腾讯】Go岗-四轮技术面+HR面
Go开发
腾讯面经
腾讯面试

ㅤ普通",
【腾讯】Go岗-腾讯云社招,"1.自我介绍
2.项目介绍，问的挺多的，每个项目的架构以及实现方式
3.etcd相关
是什么？如何保持高可用性，选举机制，脑裂如何解决
4.k8s相关
哪些常用组件，发起一个pod的创建整个通路，service有哪些，
一个请求到达pod的过程、configmap、 dockerfile
5.golang基础
数组和切片的区别 协程同步的方式 waitgroup和context区别 如何处理异常 defer
通用的http请求日志打印如何封装
6.tcp三次握手四次挥手 可靠性如何保证
7.redis数据类型
8.linux查看端口占用命令
7.mysql相关
存储引擎 区别 索引的种类 查询较慢的时候如何分析
8.算法
两个栈实现一个队列
1.自我介绍
2.项目介绍
3.tcp四次挥手、time_wait状态
4.linux常用命令，使用shell拆分一个ip地址
5.网络不可达如何排查，例如我当前打不开qq.com
6.k8s内部请求到达外部服务的过程
1.自我介绍
2.项目介绍（具体干啥、作用、背景、成果、遇到的问题、解决方案）
3.基础相关 tcp、udp区别、进程线程区别
4.项目相关  etcd mvcc、k8s pod之间如何通信
5.linux相关 如何排查网络问题、命令
6.个人规划
7.对于部门工作的了解（不了解，卒）
8.对自己的要求
本人小菜鸡1年golang后台开发经验
整体来说 问的不难 更多注重项目、基础 所有问题基本都是从项目中出发，牛客]保佑，希望能有hr面?
Go开发
腾讯面经
腾讯面试

ㅤ普通",
【腾讯】Go岗-暑期后台实习三面面经,"之前面了腾讯csig的后台开发暑期实习，也拿了offer，一直太懒去整理，现在还是凭着回忆写一下，希
望可以帮到一些还在准备面试的同学们吧
由于我的技术栈主要是Go，所以面试官问Go的内容也蛮多的。
1.说说Golang如何创建一个map
2.Golang的channel
3.Golang的协程有什么了解
4.有用过docker吗，说一说docker如何映射端口
5.项目中的用户鉴权是用什么实现的（jwt，然后聊了聊）
6.git如何切换分支
1.创建多个goroutine在多核的情况下是如何分配的
2.情景题：有很多个数（忘了多少了，可能几万吧）的一个文件，对其排序
3.项目用了图数据库，聊了聊它和关系型数据库的差别和优缺点
这面真记不到啥题了…不过二面后面试官发了邮件然后要我写个小项目，给了五天左右的时间吧
1.git中如何将本地项目和两个远程仓库连接（git remote）
2.问有没有学过编译原理（无），使用gcc编译出可执行文件的中间步骤
3.如果要你设计一个进程管理机制，为保存进程信息，你觉得每个进程应该创建一个包含哪些字段的结构体
4.聊项目以及项目的技术选型
大致的一个时间线是：官网上投简历两天后收到一面（直接电话然后约了下午两点），一面完当天晚二
面，然后给了五天时间写题，之后写好了发给面试官后，当天晚上三面，再过了三天hr面，hr面过了一
天就接oc了。
由于没录音所以也就记得住这些啦，希望对大家有帮助，祝大家春招顺利，早日上岸^_^
Go开发
腾讯面经
腾讯面试

ㅤ普通",
【腾讯】Go岗-运营开发三轮凉经,"背景：大三软工Gopher，与鹅厂单方面虐恋情深（bushi
自我介绍
项目相关
基础知识
计算机网络
数据库原理
Linux操作
编程语言
其它补充
自我介绍
项目相关
基础知识
计算机网络
操作系统
编程语言
其它补充
自我介绍
项目讲解
基础知识
计算机网络
操作系统
其它补充
社团自用，还被反问“有这样的需求吗”…（我明白了wzjtx…
大学生涯中最有成就感的一件事情
总结：三天三面高强度?内容和形式都比较灵活，无奈到三面的时候面试官比较看重项目落地(?，当场
懵了（不过也是之前和之后没有发挥得特别好）。结果是三面完还在初试没有变灰，没更新状态就流程
释放了。第一次面鹅厂，面试体验很不错的，组里的工作内容和技术栈我也很喜欢，因为自己的菜?
?有点遗憾吧555 (:з」∠)
Go开发
腾讯面经
腾讯面试

ㅤ普通",
【腾讯】Go岗-社招二面面经,"1.go的调度
2.go struct能不能比较？
3.go defer（for defer）
4.select可以用于什么？
5.context包的用途？
6.client如何实现长连接？
7.主协程如何等其余协程完再操作
8.slice，len，cap，共享，扩容
9.map如何顺序读取？
10.实现set
11.实现消息队列（多生产者，多消费者）
12.大文件排序
13.基本排序，哪些是稳定的
14.http get跟head
15.http 401,403
16.http keep-alive
17.http能不能一次连接多次请求，不等后端返回
18.tcp与udp区别，udp优点，适用场景
19.time-wait的作用
20.数据库如何建索引
21.孤儿进程，僵尸进程
22.死锁条件，如何避免
23.linux命令，查看端口占用，cpu负载，内存占用，如何发送信号给一个进程
24.git文件版本，使用顺序，merge跟rebase
1.项目实现爬虫的流程
2.爬虫如何做的鉴权吗？
3.怎么实现的分布式爬虫
4.电商系统图片多会造成带宽过高，如何解决？
5.micro服务发现
6.mysql底层有哪几种实现方式
7.channel底层实现
8.java nio和go 区别
9.读写锁底层是怎么实现的？
10.go-micro 微服务架构怎么实现水平部署的，代码怎么实现？
11.micro怎么用
12.怎么做服务发现的
13.mysql索引为什么要用B+树？
14.mysql语句性能评测？
15.服务发现有哪些机制
16.raft算法是那种一致性算法
17.raft有什么特点
18.当go服务部署到线上了，发现有内存泄露，该怎么处理
19还有一些非常底层的问题
Go开发
腾讯面经
腾讯面试

ㅤ普通",
【腾讯】Go岗-微保后台面经,"聊实习：
聊项目：
了解内存泄漏吗？有什么危害？
一道很简单的Go题目，Go怎么做深拷贝。
Map是线程安全的吗？怎么解决并发安全问题？
sync.Map 怎么解决线程安全问题？看过源码吗？
copy是操作符还是内置函数
slice的底层原理
map的底层原理
假设需要启动MongoDB，在linux下怎么设置只能启动一个？
现在对什么感兴趣？
Go里面一个协程能保证绑定在一个内核线程上面的。
自己搭过数据库之类的吗，比如Mongo，MySQL。
defer的执行顺序
defer A ; defer B ; defer panic(“”) A和B能不能执行到
怎么在10万个数中找最大的10个数
没有手撕没有反问
聊了一点项目：
Go切片和数据之间的区别
切片怎么扩容
扩容过程中需不需要重新写入
线程和进程怎么看
Go的协程可以不可以自己让出cpu
Go的协程可以只挂在一个线程上面吗
一个协程挂起换入另外一个协程是什么过程？
分页和分段内存管理有什么区别
内存泄漏和内存溢出的区别
假如一个数组，由10个数，现在只剩8个数，找出剩下的俩个数？这10个数是有某种顺序或者规律吗？
没有。。。。。
那不会
那就有规律把，比如1-10.
假设这个世界是重男轻女，生了女孩后一定会再生，生了男孩后就停，从概率论的角度分析一下将来这
个世界是男多还是女多
你怎么看待世界新冠疫情？
你觉得新冠疫情期间，中医扮演了什么样的作用？emmm…………….我佛了
为什么学Go
Go和C++有什么区别？
想过未来的工作嘛？
了解保险嘛？不了解。。。。。
MongoDB怎么做备份？
MongoDB怎么解决写入失败问题？
可以先来实习嘛？什么时候？
会谈一些对实习公司以及微保业务方面的了解
常规HR问题
Go开发
腾讯面经
腾讯面试

ㅤ普通",
【腾讯】Go岗-QQ三面（已拿offer）,"总结：
总结：
总结：
总结：
GM聊下来人感觉很不错，给人感觉特别舒服，或许这就是大佬吧，真大佬面试真的会给人一种很舒
服的感觉，特别像校招面阿里巴巴的一面，真的有时候会遇到那种怼天怼地自以为是的，所以找工
作运气也很重要
下周应该给我offer call，希望能达到预期
Go开发
腾讯面经
腾讯面试

ㅤ普通",
【腾讯】Go岗-PCG腾讯看点,"寻找两个正序数组的中位数
算法题：快排思路找topK
场景题：两堆大数，100亿个数和10亿个数，找交集
场景题：直播房间，一个大V发了一条消息，如何让上千万的粉丝收到这条消息，如果只是纯粹的广
播会很耗资源
select 和 epoll 的差别
C 和 C++ 的字节对齐
问学习和生活等个人信息
Go开发
腾讯面经
腾讯面试

ㅤ普通",
【腾讯】Go岗-后台实习三面，已OC,"不知道为啥腾讯周六也上班？刚面完HR面，说之后还会和前三轮面试官进行综合考虑，之后还有个[排
序，要等待2、3工作日。希望HR面不会挂，许愿一波
3.21 没有任何进展，状态还是显示HR面，希望明天能给个结果吧。。
3.22收到云证了，但是官网显示还是hr面。云证提交资料后，再次点进去看不见之前的提交记录。请问
这两种情况正常吗？
3.25已成功OC，等待意向书的签订。
在牛客看了很多面经，受益很多，今天来回馈各位，希望还没拿到offer的同学也能从中有所收获。 因为
都是凭借记忆来写的，所以可能很多都记不清了。
先说说本人的情况，普通211本科，考研二战失败，在海外一个小学校读硕士。之前本科一直没好好读
书，大部门基础知识都是考研积累下来的，接触golang一年不到。
1.自我介绍，个人情况，在学校的学习状况这些
2.项目（一个代理网关，都是用源码来实现的），balabal讲了些主要的功能以及运用的场景这些。
感觉三个面试官都对我项目中的负载这一块的设及挺感兴趣的，每个人都问了一遍，我每次都解释了好
久。介绍项目的时候讲到了怎么用代码去实现四种负载均衡机制（轮询、随机、权重、哈希），因为我
是没用使用nginx而是使用代码去实现的，所以我每种都解释一遍代码实现的原理，其中重点讲解的是 权
重 这种（讲了一大堆怎么去计算结点的权重、我是参考nginx的源码来设及的balabala)
3.接下来就是一大堆根据项目衍生出来的问题…
如果你这个网关中其中一个结点宕机了怎么办
答：我提供熔断和降级的机制，限流机制—>讲解了golang 的有关hystrix包，time/rate包。。如何去使用
你有没有对你的网关的抗压能力进行过测试？
答：apache benchmark ,golang pprof及其对应的三种使用模式：1.报告 2.web界面 3.终端  之后还提了
他的可视化界面以及可以生成火焰图这样
4.hashmap的实现
每次面试官提到这个我都会扯到golang 的map上去，因为golang的map就是用hashmap来实现的，其
中要注意的点有：golang map底层源码的数据结构，键值对是怎么存储的，发生了哈希冲突怎么处理
的，扩容的时候底层的原理和做了什么
5.golang slice 和array
底层的数据结构，他们的区别是什么，超过大小时发生扩容，他底层的原理是什么
6.golang goroutine的工作原理以及他们怎么进行数据交互的—>最简单的就是channel,还
有…balabala，然后channel的底层源码也大致说了一遍
7.golang gpm模型工作机制以及流程
8.进程线程区别，以及多进程多线程的使用场景
9.mysql主从复制以及好处、工作原理和机制
10.mysql引擎，索引数据结构，为什么用b+树不用别的
11.最近在看哪方面的书，你给我讲讲
12.写2道算法题
第一道：
汉明距离
第二道：
单词倒序并且大小写互反：例如：”heLlo WolRd” 转化为 “HElLO wOLrD”
13.反问
1.自我介绍，学习状况balabla类似的
2.写一道题
二叉树最近公共结点的祖先
3.项目，和第一面问的都差不多，所以很多细节我都省去了，可以参考我上面写在一面里的
很多源码以及底层的实现原理：
4.golang slice底层实现，使用场景
5.golang map底层实现，使用场景
6.golang interface底层实现，使用场景
7.golang类型断言，怎么用
8.golang写好程序编译的时候，底层的数据是怎么传递以及存储的（这一点我没答好，因为我不太懂）
这时候面试官问：我看你本科是安全专业的，对这方面了解如何  答：不太了解，个人方向是开发  面试
官：那我就问你几个计网的问题吧
9.golang gpm模型以及工作机制一大堆
10.golang测试相关的以及你怎么平时怎么测试的balabala
11.http四次挥手+timewate
12.https流程以及证书的发放
13.linux怎么查找的时候排序好像（记不太清了，还有一些其他的linux的问题
14.mysql索引底层数据结构，红黑树
15.64匹马选最快的4匹
16.最近再看哪方面的技术，你给我讲讲
17.反问
也不知道是hr还是三面面试官，中午12点多打电话来了，跟我约三面时间，我说今天下午就行，他说那
就3点吧
感觉到了大boss这一轮的话，肯定不会像之前问的那么细
1.自我介绍，学习情况，要是过了能什么时候来实习啊，实习多久balabla一大堆
2.面试官：我看你们的课程好像蛮有意思，你说说你们都教了什么东西
3.项目—–>项目的使用场景啊，能不能适用于一个高并发量的场景啊balabala，其中我还画了图给面试
官讲解了项目的工作流程啊还模拟一个轮询机制，以及画图描述了怎么选择下一个结点balabala(问了一
大堆相关的场景题，我这里有点记不清了，这里问了好久，感觉问了有30分钟左右）
4.反问
周六HR好像还在家里加班?
1.自我介绍，学习状况balabala
2.问：为什么gap了一年，答：考研二战  追问：第一次考的哪balabala
3.问：最近还在面什么别的公司  答：字节、阿里 追问：怎么选择，肯定要说腾讯好啊balabala一大堆，
这里说了好久，感觉有15分钟（我是真心觉得腾讯更好?
4.问：最近在看什么书，生涯规划是怎样的，以后想从事哪方面
5.问：你实践经历不多，你觉得你有什么优势能胜任这个岗位 答：balabala 追问：你能用几个例子来说明一下吗，学习生活上的都行  答：balabala  追问：你能再举个例子吗
6.问：什么时候入职，能实习多久
7.反问
一周内结束了所有的面试感觉还是有点累的，这一周一直都是一种紧绷的状态
这一个月也是面了好几家，感觉面试官都希望去问底层的源码（map的源码最重要，map的源码最重
要，map的源码最重要，重要的事情说三遍！）几种数据类型的源码一定要看，时间多的话可以看看gin
的源码或者sync.map的源码（这些我都准备了好久，但是都没被问过）
golang的测试相关也一定要注重，我面阿里和腾讯都被问到了怎么去写测试以及测试用的工具和方法
其他的重点内容属于计算机基础课程拉，我就不多说了，主要是自己也记不太清了，想起多少就写多少
吧  ????
最后希望大家能从中有所收获，努力一定会有回报的！
Go开发
腾讯面经
腾讯面试

ㅤ普通",
【腾讯】Go岗-三轮详细面经,"更新 9月22日 意向书
更新 9月7日云证 状态更新已完成
老天保佑别有什么幺蛾子 不然我哭死?
太不容易了 今年优图没hc 腾讯实习了个寂寞 但是没想到提前批还挺顺利（毕竟面试部门缺人 加班到妻
离子散
磕磕绊绊地复习 其他大厂都秒挂 只求去tx加班了
发个1~3面+hr面的面经，顺便求hr面顺利早日oc！
本人java选手，实习是python，腾讯要求go。
1、问实习项目（没细问）
2、问go的掌握程度
3、网络
（1）TCP第四次挥手客户端的状态
（2）大量time_wait会有什么问题，time_wait的时候能不能有别的客户端来请求服务器的服务
（3）TCP全连接和半连接队列（不会）
（4）滑动窗口已经发送序号为1、2、3的包，此时接收端发送ACK=4，问滑动窗口是否会移动？
（5）http状态码
（6）https的握手过程，双方通信是非对称还是对称
（7）你知道什么加密算法（不知道）
（8）（nginx）负载均衡的几种方式
4、操作系统
（1）孤儿进程、僵尸进程
（2）进程的通信方式
（3）进程的调度方式（最短作业优先的缺点）
（4）你用过什么linux命令（我就说了ps -ef|grep xxx哈哈哈）
5、数据库
（1）一般用什么数据结构作索引，为啥
（2）实际项目中数据库的使用程度
（3）你知道乐观锁和悲观锁嘛
6、算法题
搜索旋转排序数组（lc原题）
1、问实习项目
2、操作系统
（1）怎么创建进程/怎么运行sh文件/怎么创建后台进程（说了nohup，问了nohup和普通终端运行的区别）
（2）怎么看进程的状态（具体信息）
（3）文件读写权限对应的数字（chmod，不会只知道777）
（4）你知道父进程和子进程嘛？fork()？
3、计算机网络
（1）http状态码（304不会）
（2）301和302的区别
（3）cookie和session的区别
4、数据库
（1）怎么给已经建好的表的字段创建索引（不会）
（2）你了解数据库的什么东西？（说了索引和事务）
（3）事务是怎么实现的？（应该说日志的….）
（4）事务里对哪些数据上锁
（5）数据库删表的方式（delete和truncate的区别，不会）
（6）数据库乐观锁的实现
5、算法题
寻找走到右下角的可行路径，并输出路径结果，有障碍物，四个方向都能走。
1、问实习项目
2、对自己的评价？
3、base的倾向？
4、将来的发展规划？
5、算法题：最短路径和，直接牛客上的输入输出。
6、反问环节
1、问实习
（1）为什么没转正
（2）实习做了什么
（3）实习的难点是什么
（4）平时会跟mentor沟通嘛
（5）从同事那里学到了什么
（6）会做复盘嘛？
2、问未来规划
3、问会自己去学习一些什么技术嘛
4、问哪里人，base倾向
5、有家人在腾讯工作嘛？爸妈是干嘛的？爸妈支持你的工作嘛
6、问实习部门的工作强度，对加班怎么看（暗示加班咯）
7、问还有啥别的公司在流程中
反问：
1、顺利的话之后要多久出结果，答3~5个工作日
2、工作强度，答目前有很大的发挥空间，不如其他电商产品那么成熟细致，分工明确
我相信tx是爱我的！
Go开发
腾讯面经
腾讯面试

ㅤ普通",
