问题,回答,所属分类
Python 后台开发面试题阅读指南（必看）,"大家好，我是帅地。 为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。 由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. Flask 中请求上下文和应用上下文的区别和作用？
1. Flask 中请求上下文和应用上下文的区别和作用？
2. 对 Flask 蓝图(Blueprint)的理解？
2. 对 Flask 蓝图(Blueprint)的理解？
3. Flask 项目中如何实现 session 信息的写入？
3. Flask 项目中如何实现 session 信息的写入？
4. 项目接口实现后路由访问不到怎么办？
4. 项目接口实现后路由访问不到怎么办？
5. Flask 中 url_for 函数？
5. Flask 中 url_for 函数？
6. Flask 中请求钩子的理解和应用？
6. Flask 中请求钩子的理解和应用？
7. 一个变量后写多个过滤器是如何执行的？
7. 一个变量后写多个过滤器是如何执行的？
8. 如何把整个数据库导出来，再导入指定数据库中？
8. 如何把整个数据库导出来，再导入指定数据库中？
9. Flask 和 Django 路由映射的区别？
9. Flask 和 Django 路由映射的区别？
10. 跨站请求伪造和跨站请求保护的实现？
10. 跨站请求伪造和跨站请求保护的实现？
11. Flask(name)中的name可以传入哪些值？
11. Flask(name)中的name可以传入哪些值？
12. Django 创建项目的命令？
12. Django 创建项目的命令？
13. Django 创建项目后，项目文件夹下的组成部分（对 mvt 的理解）？
13. Django 创建项目后，项目文件夹下的组成部分（对 mvt 的理解）？
14. 对 MVC,MVT 解读的理解？
14. 对 MVC,MVT 解读的理解？
15. Django 中 models 利用 ORM 对 Mysql 进行查表的语句（多个语句）
15. Django 中 models 利用 ORM 对 Mysql 进行查表的语句（多个语句）
16. django 中间件的使用？
16. django 中间件的使用？
17. Django 项目的优化？
17. Django 项目的优化？
18. 谈一下你对 uWSGI 和 nginx 的理解？
18. 谈一下你对 uWSGI 和 nginx 的理解？
19. 说说 nginx 和 uWISG 服务器之间如何配合工作的？
19. 说说 nginx 和 uWISG 服务器之间如何配合工作的？
20. django 开发中数据库做过什么优化?
20. django 开发中数据库做过什么优化?
21. 验证码过期时间怎么设置？
21. 验证码过期时间怎么设置？
22. Python 中 Django、Flask、Tornado 三大框架各自的应用场景？
22. Python 中 Django、Flask、Tornado 三大框架各自的应用场景？
23. django 如何提升性能？
23. django 如何提升性能？
24. 什么是 restful api，谈谈你的理解?
24. 什么是 restful api，谈谈你的理解?
25. 启动 Django 服务的方法？
25. 启动 Django 服务的方法？
26. 怎样测试 django 框架中的代码？
26. 怎样测试 django 框架中的代码？
27. 有过部署经验？用的什么技术？可以满足多少压力？
27. 有过部署经验？用的什么技术？可以满足多少压力？
28. Django 中哪里用到了线程?哪里用到了协程?哪里用到了进程？
28. Django 中哪里用到了线程?哪里用到了协程?哪里用到了进程？
29. django 关闭浏览器，怎样清除 cookies 和 session？
29. django 关闭浏览器，怎样清除 cookies 和 session？
30. 代码优化从哪些方面考虑？有什么想法？
30. 代码优化从哪些方面考虑？有什么想法？
31. Django 中间件是如何使用的？
31. Django 中间件是如何使用的？
32. ngnix 的正向代理与反向代理?
32. ngnix 的正向代理与反向代理?
33. 简述 Django 下的（内建的）缓存机制?
33. 简述 Django 下的（内建的）缓存机制?
34. Django HTTP 请求的处理流程？
34. Django HTTP 请求的处理流程？
35. Django 里 QuerySet 的 get 和 filter 方法的区别？
35. Django 里 QuerySet 的 get 和 filter 方法的区别？
36. 跨域请求问题 django 怎么解决的？
36. 跨域请求问题 django 怎么解决的？
37. Django 对数据查询结果排序怎么做，降序怎么做，查询大于某个字段怎么做？
37. Django 对数据查询结果排序怎么做，降序怎么做，查询大于某个字段怎么做？
38. Django 重定向你是如何实现的？用的什么状态码？
38. Django 重定向你是如何实现的？用的什么状态码？
39. 生成迁移文件和执行迁移文件的命令是什么？
39. 生成迁移文件和执行迁移文件的命令是什么？
40. 关系型数据库的关系包括哪些类型？
40. 关系型数据库的关系包括哪些类型？
41. 查询集返回列表的过滤器有哪些？
41. 查询集返回列表的过滤器有哪些？
42. Django 本身提供了 runserver，为什么不能用来部署？
42. Django 本身提供了 runserver，为什么不能用来部署？
43. HttpRequest 和 HttpResponse 是什么？干嘛用的？
43. HttpRequest 和 HttpResponse 是什么？干嘛用的？
44. Django 日志管理
44. Django 日志管理
Python后台开发

ㅤ普通",
Flask 中请求上下文和应用上下文的区别和作用？,"current_app、g 是应用上下文。
request、session 是请求上下文。
手动创建上下文的两种方法：
两者区别：
请求上下文：保存了客户端和服务器交互的数据。
应用上下文：flask 应用程序运行过程中，保存的一些配置信息，比如程序名、数据库连接、应用 信息等。
两者作用：
请求上下文(request context)：Flask 从客户端收到请求时，要让视图函数能访问一些对象，这样才能处理请求。请求对象是一个很好的例子，它封装了客户端发送的 HTTP 请求。要想让视图函数能够访问请求对象，一个显而易见的方式是将其作为参数传入视图函数，不过这会导致程序中的每个视图函数都增加一个参数，除了访问请求对象,如果视图函数在处理请求时还要访问其他对象，情况会变得更糟。为了避免大量可有可无的参数把视图函数弄得一团糟，Flask使用上下文临时把某些对象变为全局可访问。
应用上下文(application context)：它的字面意思是 应用上下文，但它不是一直存在的，它只是 request context 中的一个对 app 的代理(人)，所谓 local proxy。它的作用主要是帮助 request 获取当前的应用，它是伴 request 而生，随 request 而灭的。
Python后台开发

ㅤ普通",
对 Flask 蓝图(Blueprint)的理解？,"蓝图的定义
蓝图 /Blueprint 是 Flask 应用程序组件化的方法，可以在一个应用内或跨越多个项目共用蓝图。使用蓝图可以极大地简化大型应用的开发难度，也为 Flask 扩展 提供了一种在应用中注册服务的集中式机制。
蓝图的应用场景
(1) 把一个应用分解为一个蓝图的集合。这对大型应用是理想的。一个项目可以实例化一个应用对象，初始化几个扩展，并注册一集合的蓝图。
(2) 以 URL 前缀和/或子域名，在应用上注册一个蓝图。 URL 前缀/子域名中的参数即成为这个蓝 图下的所有视图函数的共同的视图参数（默认情况下）。
(3) 在一个应用中用不同的 URL 规则多次注册一个蓝图。
(4) 通过蓝图提供模板过滤器、静态文件、模板和其它功能。一个蓝图不一定要实现应用或者视图函 数。
(5) 初始化一个 Flask 扩展时，在这些情况中注册一个蓝图。
蓝图的缺点
不能在应用创建后撤销注册一个蓝图而不销毁整个应用对象。
使用蓝图的三个步骤
(1) 创建一个蓝图对象
(2) 在这个蓝图对象上进行操作 ，例如注册路由、指定静态文件夹、注册模板过滤器…
(3) 在应用对象上注册这个蓝图对象
Python后台开发

ㅤ普通",
Flask 项目中如何实现 session 信息的写入？,"Flask 中有三个 session：
(1) 数据库中的 session，例如:db.session.add()
(2)在 flask_session 扩展中的 session，使用：from flask_session importSession，使用第三方扩展的 session 可以把信息存储在服务器中，客户端浏览器中只存储 sessionid
(3) flask 自带的 session，是一个请求上下文， 使用：from flask import session。自带的session 把信息加密后都存储在客户端的浏览器 cookie 中。
Python后台开发

ㅤ普通",
项目接口实现后路由访问不到怎么办？,"可以通过 postman 测试工具测试，或者看 log 日志信息找到错误信息的大概位置。
Python后台开发

ㅤ普通",
Flask 中 url_for 函数？,"URL 反转：根据视图函数名称得到当前所指向的 url。
url_for() 函数最简单的用法是以视图函数名作为参数，返回对应的 url，还可以用作加载静态文件。
该条语句就是在模版中加载 css 静态文件。
url_for 和 redirect 区别
url_for 是用来拼接 URL 的，可以使用程序 URL 映射中保存的信息生成 URL。
url_for() 函数最简单的用法是以视图函数名作为参数， 返回对应的 URL。例如，在示例程序中 hello.py 中调用 url_for(‘index’) 得到的结果是 /。
redirect 是重定向函数，输入一个 URL 后，自动跳转到另一个 URL 所在的地址，例如，你在函数中写 return redirect(‘https://www.baidu.com’) 页面就会跳转向百度页面。
Python后台开发

ㅤ普通",
Flask 中请求钩子的理解和应用？,"请求钩子是通过装饰器的形式实现的，支持以下四种：

  before_first_request 在处理第一个请求前运行 before_request 在每次请求前运行 after_request 如果没有未处理的异常抛出，在每次请求后运行 teardown_request 即使有未处理的异常抛出，在每次请求后运行

应用：
请求钩子
Python后台开发

ㅤ普通",
一个变量后写多个过滤器是如何执行的？,"{{ expression | filter1 | filter2 | … }} 即表达式(expression)使用 filter1 过滤后再使用 filter2 过滤。
Python后台开发

ㅤ普通",
如何把整个数据库导出来，再导入指定数据库中？,"导出
导入指定的数据库中:
第一种方法：
第二种方法：
先创建好数据库，因为导出的文件里没有创建数据库的语句，如果数据库已经建好，则不用再创建。
切换数据库：
导入指定 sql 文件：
Python后台开发

ㅤ普通",
Flask 和 Django 路由映射的区别？,"在 django 中，路由是浏览器访问服务器时，先访问的项目中的 url，再由项目中的 url 找到应用 url，这些 url 是放在一个列表里，遵从从前往后匹配的规则。在 flask 中，路由是通过装饰器给每个视图函数提供的，而且根据请求方式的不同可以一个 url 用于不同的作用。
Python后台开发

ㅤ普通",
跨站请求伪造和跨站请求保护的实现？,"图中 Browse 是浏览器，WebServerA 是受信任网站/被攻击网站 A，WebServerB 是恶意网站/点击网站 B。
（1）一开始用户打开浏览器，访问受信任网站 A，输入用户名和密码登陆请求登陆网站 A。
（2）网站 A 验证用户信息，用户信息通过验证后，网站 A 产生 Cookie 信息并返回给浏览器。
（3）用户登陆网站 A 成功后，可以正常请求网站 A。
（4）用户未退出网站 A 之前，在同一浏览器中，打开一个 TAB 访问网站 B。
（5）网站 B 看到有人方式后，他会返回一些攻击性代码。
（6）浏览器在接受到这些攻击性代码后，促使用户不知情的情况下浏览器携带 Cookie（包括  sessionId）信息，请求网站 A。这种请求有可能更新密码，添加用户什么的操作。
从上面 CSRF 攻击原理可以看出，要完成一次 CSRF 攻击，需要被攻击者完成两个步骤：
(1) 登陆受信任网站 A，并在本地生成 COOKIE。 (2) 在不登出 A 的情况下，访问危险网站 B。
如果不满足以上两个条件中的一个，就不会受到 CSRF 的攻击，以下情况可能会导致 CSRF：
(1) 登录了一个网站后，打开一个 tab 页面并访问另外的网站。
(2) 关闭浏览器了后，本地的 Cookie 尚未过期，你上次的会话还没有已经结束。（事实上，关闭浏览器不能结束一个会话，但大多数人都会错误的认为关闭浏览器就等于退出登录/结束会话了……）
解决办法：就是在表单中添加 from.csrf_token。
Python后台开发

ㅤ普通",
Flask(name)中的name可以传入哪些值？,"可以传入的参数：
(1) 字符串：‘hello’, 但是‘abc’,不行，因为 abc 是 python 内置的模块
(2) name，约定俗成
不可以传入的参数：
(1) python 内置的模块，re,urllib,abc 等
(2) 数字
Python后台开发

ㅤ普通",
Django 创建项目的命令？,"django-admin startproject 项目名称
python manage.py startapp 应用 app 名
Python后台开发

ㅤ普通",
Django 创建项目后，项目文件夹下的组成部分（对 mvt 的理解）？,"项目文件夹下的组成部分：
manage.py 是项目运行的入口，指定配置文件路径。
与项目同名的目录，包含项目的配置文件。
___init.py 是一个空文件，作用是这个目录可以被当作包使用。
settings.py 是项目的整体配置文件。
urls.py 是项目的 URL 配置文件。
wsgi.py 是项目与 WSGI 兼容的 Web 服务器。
Python后台开发

ㅤ普通",
"对 MVC,MVT 解读的理解？","M：Model，模型，和数据库进行交互
V：View，视图，负责产生 Html 页面
C：Controller，控制器，接收请求，进行处理，与 M 和 V 进行交互，返回应答。


1 用户点击注按钮，将要注册的信息发送给网站服务器。
2 Controller 控制器接收到用户的注册信息，Controller 会告诉 Model 层将用户的注册信息保 存到数据库
3 Model 层将用户的注册信息保存到数据库
4 数据保存之后将保存的结果返回给 Model 模型
5 Model 层将保存的结果返回给 Controller 控制器
6 Controller 控制器收到保存的结果之后，或告诉 View 视图，view 视图产生一个 html 页面
7 View 将产生的 Html 页面的内容给了 Controller 控制器
8 Controller 将 Html 页面的内容返回给浏览器
9 浏览器接受到服务器 Controller 返回的 Html 页面进行解析展示
M：Model，模型，和 MVC 中的 M 功能相同，和数据库进行交互
V：view，视图，和 MVC 中的 C 功能相同，接收请求，进行处理，与 M 和 T 进行交互，返回应答
T：Template，模板，和 MVC 中的 V 功能相同，产生 Html 页面


1 用户点击注册按钮，将要注册的内容发送给网站的服务器
2 View 视图，接收到用户发来的注册数据，View 告诉 Model 将用户的注册信息保存进数据库
3 Model 层将用户的注册信息保存到数据库中
4 数据库将保存的结果返回给 Model
5 Model 将保存的结果给 View 视图
6 View 视图告诉 Template 模板去产生一个 Html 页面
7 Template 生成 html 内容返回给 View 视图
8 View 将 html 页面内容返回给浏览器
9 浏览器拿到 view 返回的 html 页面内容进行解析，展示
Python后台开发

ㅤ普通",
