问题,回答,所属分类
腾讯客户端开发面经汇总,"本系列将提供腾讯客户端岗位历年面经，所有面经都有候选人面试之后根据回忆整理而出，大家可以通过面经来复习以及看看腾讯面试难度。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 【腾讯】客户端岗-第四次腾讯把我捞上岸
1. 【腾讯】客户端岗-第四次腾讯把我捞上岸
2. 【腾讯】客户端岗-ios实习2+2+hr面经
2. 【腾讯】客户端岗-ios实习2+2+hr面经
3. 【腾讯】客户端岗-北京CSIG(终于收到意向书)
3. 【腾讯】客户端岗-北京CSIG(终于收到意向书)
4. 【腾讯】客户端岗-pc端wegame面筋
4. 【腾讯】客户端岗-pc端wegame面筋
5. 【腾讯】客户端岗-ios开发实习生三轮面试
5. 【腾讯】客户端岗-ios开发实习生三轮面试
6. 【腾讯】客户端岗-IEG四面面经
6. 【腾讯】客户端岗-IEG四面面经
7. 【腾讯】客户端岗-游戏开发实习
7. 【腾讯】客户端岗-游戏开发实习
8. 【腾讯】客户端岗-社招面筋~
8. 【腾讯】客户端岗-社招面筋~
9. 【腾讯】客户端岗-PCG一二三面HR面(已oc)
9. 【腾讯】客户端岗-PCG一二三面HR面(已oc)
10. 【腾讯】客户端岗-音乐开发(终于圆梦!)
10. 【腾讯】客户端岗-音乐开发(终于圆梦!)
客户端开发岗
腾讯面试

ㅤ普通",
【腾讯】客户端岗-第四次腾讯把我捞上岸,"首先感谢腾讯捞了我好几次。之前几次的时候自己准备的还不是很好，被挂了，还是感谢腾讯捞了我那么多次！
自己简历上写的项目一定要深入准备，会根据项目问很多相关问题！！
客户端开发岗
腾讯面试

ㅤ普通",
【腾讯】客户端岗-ios实习2+2+hr面经,"总体来说，腾讯ios的题其实挺基础的，算法也不是很难，大多数面试官人都很好~
坐标武汉某985，学习成绩中上，属于老老实实跟着老师学知识，没有意识到自己技术完全不够参加面试参加工作的。于是投实习简历的时候，看着岗位需求，，异常痛苦。。辅导员骗我们刷加权啊呜呜呜，，，
于是看到客户端的要求并没有要求非要有客户端基础，要求就是基础扎实。我觉得我可能还勉强符合，就试了试。题目对大神来说是很简单了，求轻喷我这只小菜鸡啊呜呜呜
所以，我觉得技术小白但是感觉自己基础还可以的，可以试试大厂的客户端。大厂的包容性很强，愿意接受零基础，只要基础好，学习能力不错，学习态度好，我觉得都是有机会的。
算法题：翻转链表
算法题：根据错误码输出错误信息，重点是要求代码可维护（当时没写出来，写了好久不知道咋处理。。）【后来上网查了说把一个错误信息放在结构体中，所有的信息再组成结构体数组，每次遍历数组得到信息】
题目:补全这个函数string getInfo(int errCode)，输入错误码返回错误信息.(例如错误代码1，用户名错误；错误代码2，密码错误；错误代码10-100，数据库错误；错误代码200-1000，文件找不到错误。)（重点要求代码可维护！！！）
让我说知道的各种排序算法，以及实现、时间复杂度等等
get和post的区别。
自我介绍
怎样从服务器拉取一亿个数据到客户端，用什么协议，协议具体怎么写，逼问细节。（不会详细细节呜呜呜，
问我一面那个第二个算法题，想出来怎么写没有。然后怎么优化，怎么优化，逼问细节。（一直不满意我的优化呜呜呜
问我平时怎么学技术，问我学习排名，编程大概年级拍多少（我。。。
问他问题。
下线一分钟，挂了。。。。。
大概被挂的第二天文档就来捞我面试了。而且全程约面试联系的时候以及面试的收获，面试小哥哥虽然都没有露脸，但是都贼友善！
腾讯面试体验还是不错的，，就是挂了的那次好打击人，，不过还好最终被捞上岸了。感恩腾讯~
祝大家都快快上岸~~~~~
客户端开发岗
腾讯面试

ㅤ普通",
【腾讯】客户端岗-北京CSIG(终于收到意向书),"吐槽
早上和朋友吃饭时候他一直老接到电话，就有预感腾讯爸爸今天要给我打电话，然后吃完饭果不其然一个标志的骚扰电话打过来，，，一听是腾讯oc尴尬 然后晚上6点多发了意向书
真的真的超级开心
自己之前春招去了腾讯pcg实习，从4月实习到8月底，知道自己转正没过时候真的很难受很难受，然后9月1号回学校开始秋招。很感谢在我最难受的时候别人对我的帮助，也感谢实习时候导师对我的教导，部门其他人对我也特别好。最后是我大组长帮我内推转推荐到这个部门的，刚好自己女朋友工作也在北京，两个人也不用异地了，因祸得福吧。
面试官拿的我春招的简历尴尬，所以面试官以为我找实习尴尬，然后自己简历上也没我之前腾讯的实习经历，所以场面一度尴尬
总体问的比较基础吧，没什么难的问题
面试官迟到了半个小时233 很急的面的那种
自己的秋招就结束，也给自己大学付出有了一个满意的结果
每个人都会有个很好的结局的，真的相信最好的永远在最后，这段时间自己真的有时候心情很差，也不知道这么调节，等事情过去了，仔细想了想也不过如此。
客户端开发岗
腾讯面试

ㅤ普通",
【腾讯】客户端岗-pc端wegame面筋,"1.赛马
2.如何加速游戏启动过程
3.友元访问权限
4.生产者消费者模型
5.怎么实现无锁线程同步
其余就是聊天
1.析构函数不为虚函数的情况
2.tcp三次握手
3.基于tcp的应用层协议中，哪个字段最重要
 (答案是长度，因为tcp是流传输协议)
4.堆和栈的区别
5.递归函数对栈的影响？如何减少递归函数的栈开销？
6.进程通信方法
7.要完成一次进程通信，哪种方式最快
8.http和https的区别，对称加密和非对称加密
9.如何通过不受信任的网络建立安全的信道(用https对称+非对称加密的方法)
9.9 hr面 腾讯会议 20min
面完之后立马发来了云证，一直到现在都没消息..许愿许愿
客户端开发岗
腾讯面试

ㅤ普通",
【腾讯】客户端岗-ios开发实习生三轮面试,"楼主西南某双非一本大三，12月底腾讯公司与我校有实习生合作计划，事业群为pcg，在校内开了宣讲会，所以就抱着试一试的心态去听了（大二的时候不知天高地厚投了学长给的字节的内推链接，结果第一次接触面试，一塌糊涂，然后开始系统学习，后来也面了深信服，笔试过了面试没过）。当时宣讲会座无虚席，由于我是从事iOS客户端开发，看到同事的同学比较少，就想要把握住这次机会，现在来说
大概流程：
1.现场笔试
在前端后端客户端大佬讲解完之后，我提交了纸质简历，然后笔试，不得不说，题真的很多，而且要手写。六道编程题，都是算法一类，手写，写不完的可以写大体思路。（笔试一般刷得比较少）
2.现场面试
当天笔试之后，晚上随行hr打来电话，说第二天去某某教室参加面试。一对一，是客户端一个大哥，做android，由于我是iOS，他就没有细问，大体聊了一下
计算机网络，流量控制，拥塞控制，
url输入后到结果呈现发生的事情，
map和hashmap的底层实现有什么不同
答得不太好，但是编了一些。
一周后打来电话，要求我录入在线简历，提交之后打电话约电话面试时间。这次就是比较专业，
iOS中当你除屏幕之后发生的一系列事件，
iOS的内存管理方式，
property的一些关键字，都知道哪些，分别有什么意义，
了解http吗，仔细讲一下http，
讲一下https，
get和post方法有什么区别，（说了两三个，但是面试官还在追问，就不知道了）
http的状态码知道哪些，具体含义
聊了项目
等结果
一面后两周打来，还是面技术，我说不是上次面过了吗，他说可能没过，然后又把我的简历捞了起来，现在想想还是比较幸运?
iOS系统和androids区别，为什么iOS没有安卓那么卡顿
细说https签字加密过程
计算机网络的模型，分别是什么
链表的环是什么
怎样找到链表]的环（快慢指针，相遇问题）
屏幕共享，手撕代码，快速排序]，判断一个链表是否是回文（我是将链表转化为数组，然后判断遍历数组是否是回文），是否还有别的方法判断？（说了递归方法，但是想不起来，没有细说）
等结果
项目的功能，是用来做什么的
项目利用到哪些技术
对iOS的了解
解决困难的方法
怎样系统的学习
擅长什么（我说的c++）
对c++有什么了解
c++里的特性都是什么，你觉得什么比较重要
等结果
项目做的怎样，学习的经历，碰到的难点，项目中用到的技术，项目还欠缺什么
家是哪里的
主动性如何
统筹规划能力如何
反问
之后商量具体实习时间
hr面完之后，敲定了具体信息，面试时间，然后元旦放假，一直没收到offer，心里有点慌，但是今天早上打来电话恭喜你已经通过，确认了我的个人信息，说一到两个工作日发offer，还是很激动。从大二开始系统学习iOS和c++还有计算机网络算法数据结构知识，到这次offer，感觉还是很不真实，有一种野鸡变凤凰的惶恐，毕竟自己的实力还远远不够，还要更加努力学习才是，争取答辩转正！
客户端开发岗
腾讯面试

ㅤ普通",
【腾讯】客户端岗-IEG四面面经,"自我介绍
见面三道算法
最长公共子序列
数独（dfs，DLX）
翻转对（树状数组）
ak完已经快一个小时了（数独调了半个小时）
挖实习经历
C++深度理解对象模型八股
指针深挖
操作系统八股
时间太远记不清了，大部分都是C++深挖对象模型
自我介绍
一面都问你什么了
一面都写什么题了
深度理解C++内存模型
操作系统网络原理八股
算法题
两个栈实现一个队列
链表相交（需要考虑有环）
这里C++内存模型好多答崩了没想到过了
自我介绍
见面两道算法
A*
求子集（我用了位运算魔法，面试官好评）
C++经典八股
进线程通信深挖
学过编译原理和系统结构吗
学过图形学吗
动态链接和静态链接
手里有多少offer
实习深挖
看过什么C++的书
（cpp，effective cpp，more effective cpp
深度理解C++对象模型，侯捷的stl源码，内存模型）
两个八股忘了
两个算法
英文原版推箱子
纯递归不借助如何辅助空间和迭代实现
两个正序链表的大数相加
over
几分钟以后显示hr了，希望好运
PS：这里所说的八股都是比面经稍微深一点的，一般都是和书有关的，书看多了都忘了。
总得来说应该是算法题都ak了才能过吧
客户端开发岗
腾讯面试

ㅤ普通",
【腾讯】客户端岗-游戏开发实习,"计算机网络：
osi七层模型
udp和tcp
tcp/ip协议属于哪一层
项目：
项目的难点和重点
是否把项目打包，如何做？
游戏在手机中切出来会调用unity的哪个函数
安卓开发：
使用过android studio吗？
用来做过什么
引擎：
unity的生命周期函数
如何查看游戏性能
计算机图形学：
渲染管线
设计模式：
说几个设计模式
讲讲你熟悉的几个设计模式
c++：
多态，虚函数，虚函数表
智能指针
操作系统：
线程和进程
进程调度算法
如何改变进程的优先级
linux：
linux常用命令了解哪些
Linux如何查看进程，如何查看进程资源使用情况
算法：
快排口述，举例口述快排中的交换过程
快排优化，三点中值法
手撕 判断是否为二叉平衡树
优化
反问
二面就三个问题。。。
你在学习c++过程中遇到过什么难题，如何解决？
为什么不都用栈，不要堆？
你在项目中遇到过什么难题，如何解决？
（第一次遇到这种问题，应该挑自己熟悉和重要的方面深入讲解）
反问
5.10 进入hr面，还没约时间
5.18 hr面
5.20 云证
5.25 offer
客户端开发岗
腾讯面试

ㅤ普通",
【腾讯】客户端岗-社招面筋~,"面试官迟到了几分钟。
投的java，面试官 C++，上来就是 malloc，堆，栈，磕磕绊绊答了答，说我不
会C++
然后就是项目，没问细节，问了发布没有，部署在哪
输入url 发生了什么
栈和队列的区别
访问物理主机用的什么地址，用了什么协议将ip 转 mac
算法题，将大数转成二进制输出，本质上是写一个大数除法，然后分析时间复杂
度和空间复杂度，空间复杂度还能不能优化
java 一点没问，数据库也一点没问，问题都很简单，反倒是算法题撸出来后问
了一大堆，一行行分析，我用了java 中的 compareTo，然后他问我 compaTo 比
较String 是什么原理实现的，如果是转化成整形那这题不就做错了
然而我确实不确定实现原理，就说大概是比较ASCII 码吧
反问：希望得到一定反馈：底层掌握不好，malloc、堆、栈答得不好，问 compareTo
答得也不明确。
自我介绍；
Java 中接口和抽象类的区别；
Java中的反射了解吗；
Java中有哪些地方用到了反射；
Redis中用到了哪些数据结构；
用过Redis的备份吗；
你们的Redis是单机的还是集群的；
hash冲突的解决办法；
zset底层用的什么数据结构；
消息队列如果消息丢失怎么办？
消息队列的作用；
消息队列还有其他的使用场景吗？
项目中用的是什么数据库；
MySQL中主键索引和唯一索引的区别；
innodb引擎中索引的底层数据结构；
B树和B+树的区别；
一亿个数据，找最大的一千个，应该怎样解决；
客户端开发岗
腾讯面试

ㅤ普通",
【腾讯】客户端岗-PCG一二三面HR面(已oc),"5.27更新：
5.25 云证
5.27 电话oc
感谢鹅厂捞我，感动.jpg
面试官是ios的，我面的安卓。。。然后就追着问基础。。。
面试官还是ios的。。。又是一点安卓没问。。。无语。。。
自我介绍结束后，面试官就对着简历的项目开始问。。。
主要是在聊项目
中间问了sqlite的事务回滚（不会），让我讲讲MVVM架构
因为我的技术栈是flutter，面试官让我讲一下flutter
把flutter的架构跟渲染机制，常用第三方库讲了点点
面试官问你刚才说到flutter的底层是opencv绘制的，那dart代码到opencv绘制ui，中间经历了什么呢？
flutter是运行时处理还是说在打包时就已经转化成了其他字节码，他的运行机制是什么
flutter与React Native的区别
算法题
本来以为面试官还会是ios，我甚至表露了学ios的想法与对ios的向往，然后面试官告诉我他搞安卓的。。。巨无语
自我介绍完后聊项目
针对项目问了socket，问socket有啥缺点（完全不会，只能口胡）
如何保持一个长连接（完全不会，口胡都口胡不了）
讲讲MVVM架构
讲讲学习flutter过程，对他的理解，解决过的难点问题
面试过程中网掉了，垃圾校园网，最后HR让关了视频
HR。。。用最客气的话，最和善的语气，给你挖着最深的坑，老油条了
先是一番嘘寒问暖后，让我讲讲项目，一连讲了三个才让我停，感觉可能我的叙述一直都没有切中他的点。。。
然后问规划，问日常爱好，问性格缺点
总结：虽然看似稀松平常，但总觉得我的回答不太让他满意的样子，而且中途还断了网。。。希望不要倒在HR面上呀，给孩子一个机会吧
客户端开发岗
腾讯面试

ㅤ普通",
