问题,回答,所属分类
finally 块中的代码什么时候被执行？,"在 Java 语言的异常处理中，finally 块的作用就是为了保证无论出现什么情况，finally 块里的代码一定会被执行。由于程序执行 return 就意味着结束对当前函数的调用并跳出这个函数体，因此任何语句要执行都只能在 return 前执行（除非碰到 exit 函数），因此 finally 块里的代码也是在 return 之前执行的。
此外，如果 try-finally 或者 catch-finally 中都有 return，那么 finally 块中的 return 将会覆盖别处的 return 语句，最终返回到调用者那里的是 finally 中 return 的值。
Java异常
Java面试题",
finally 是不是一定会被执行到？,"不一定。下面列举两种执行不到的情况：
（1）当程序进入 try 块之前就出现异常时，会直接结束，不会执行 finally 块中的代码；
（2）当程序在 try 块中强制退出时也不会去执行 finally 块中的代码，比如在 try 块中执行 exit 方法。
Java异常
Java面试题",
try-catch-finally 中，如果 catch 中 return 了，finally 还会执行吗？,"会。程序在执行到 return 时会首先将返回值存储在一个指定的位置，其次去执行 finally 块，最后再返回。因此，对基本数据类型，在 finally 块中改变 return 的值没有任何影响，直接覆盖掉；而对引用类型是有影响的，返回的是在 finally 对 前面 return 语句返回对象的修改值。
Java异常
Java面试题",
try-catch-finally 中那个部分可以省略？,"catch 和 finally可以省略其中一个，但必须保留其中一个。try 只适合处理运行时异常，try+catch 适合处理运行时异常+普通异常。也就是说，如果你只用 try 去处理普通异常却不加以 catch 处理，编译是通不过的，因为编译器硬性规定，普通异常如果选择捕获，则必须用 catch 显示声明以便进一步处理。而运行时异常在编译时没有如此规定，所以 catch 可以省略，你加上 catch 编译器也觉得无可厚非。
Java异常
Java面试题",
Error 和 Exception 的区别？,"Error 类和 Exception 类的父类都是 Throwable 类。主要区别如下：
Error 类： 一般是指与虚拟机相关的问题，如：系统崩溃、虚拟机错误、内存空间不足、方法调用栈溢出等。这类错误将会导致应用程序中断，仅靠程序本身无法恢复和预防；
Exception 类：分为运行时异常和受检查的异常。
Java异常
Java面试题",
运行时异常与受检异常有何异同？,"运行时异常：如：空指针异常、指定的类找不到、数组越界、方法传递参数错误、数据类型转换错误。可以编译通过，但是一运行就停止了，程序不会自己处理；
受检查异常：要么用 try … catch… 捕获，要么用 throws 声明抛出，交给父类处理。
Java异常
Java面试题",
throw 和 throws 的区别？,"（1）throw：在方法体内部，表示抛出异常，由方法体内部的语句处理；throw 是具体向外抛出异常的动作，所以它抛出的是一个异常实例；
（2）throws：在方法声明后面，表示如果抛出异常，由该方法的调用者来进行异常的处理；表示出现异常的可能性，并不一定会发生这种异常。
Java异常
Java面试题",
常见的异常类有哪些？,"NullPointerException：当应用程序试图访问空对象时，则抛出该异常。
SQLException：提供关于数据库访问错误或其他错误信息的异常。
IndexOutOfBoundsException：指示某排序索引（例如对数组、字符串或向量的排序）超出范围时抛出。
FileNotFoundException：当试图打开指定路径名表示的文件失败时，抛出此异常。
IOException：当发生某种 I/O 异常时，抛出此异常。此类是失败或中断的 I/O 操作生成的异常的通用类。
ClassCastException：当试图将对象强制转换为不是实例的子类时，抛出该异常。
IllegalArgumentException：抛出的异常表明向方法传递了一个不合法或不正确的参数。
Java异常
Java面试题",
主线程可以捕获到子线程的异常吗？,"线程设计的理念：“线程的问题应该线程自己本身来解决，而不要委托到外部”。
正常情况下，如果不做特殊的处理，在主线程中是不能够捕获到子线程中的异常的。如果想要在主线程中捕获子线程的异常，我们可以用如下的方式进行处理，使用 Thread 的静态方法
Java异常
Java面试题",
Java异常,"为了方便维护，校对错误等，目前改为只提供一种阅读方式，看这里：Java异常面试题阅读指南
Java异常面试题阅读指南
Java异常",
Java异常面试题阅读指南,"大家好，我是帅地。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. finally 块中的代码什么时候被执行？
1. finally 块中的代码什么时候被执行？
2. finally 是不是一定会被执行到？
2. finally 是不是一定会被执行到？
3. try-catch-finally 中，如果 catch 中 return 了，finally 还会执行吗？
3. try-catch-finally 中，如果 catch 中 return 了，finally 还会执行吗？
4. try-catch-finally 中那个部分可以省略？
4. try-catch-finally 中那个部分可以省略？
5. Error 和 Exception 的区别？
5. Error 和 Exception 的区别？
6. 运行时异常与受检异常有何异同？
6. 运行时异常与受检异常有何异同？
7. throw 和 throws 的区别？
7. throw 和 throws 的区别？
8. 常见的异常类有哪些？
8. 常见的异常类有哪些？
9. 主线程可以捕获到子线程的异常吗？
9. 主线程可以捕获到子线程的异常吗？
 Java面试题分类阅读指南（必看）
 Java面试题分类阅读指南（必看）
 操作系统面试题阅读指南（必看）
 操作系统面试题阅读指南（必看）
阅读指南（必看）
阅读指南（必看）
MySQL面试题阅读指南（必看）
MySQL面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
持续更新～持续更新～持续更新～
记得收藏呀
Java异常",
